,First_name,Last_name,Team,Conference,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
71,Donte,Grantham,CLEM,ACC,33,32,27.8,16.1,100.8,107.4,0.485,0.46399999999999997,13.2,49.8,5.2,13.1,8.4,0.1,0.02,0.03,0.14
72,Ray,Spalding,LOU,ACC,34,8,19.2,16.0,110.4,92.2,0.596,0.59,57.5,2.2,11.0,20.8,14.8,0.07,0.02,0.05,0.2
73,Austin,Arians,WAKE,ACC,33,33,22.8,15.4,127.8,114.9,0.649,0.619,18.4,71.1,2.5,6.9,4.3,0.09,0.01,0.0,0.09
74,Sidy,Djitte,CLEM,ACC,32,24,23.5,15.4,115.5,102.9,0.589,0.5329999999999999,69.1,1.5,17.6,20.6,17.6,0.05,0.02,0.04,0.22
75,Justin,Bibbs,VT,ACC,33,33,31.3,15.3,108.7,111.9,0.562,0.542,15.9,61.5,1.5,8.7,5.0,0.09,0.01,0.0,0.11
76,Anas,Mahmoud,LOU,ACC,31,15,18.7,15.3,111.2,89.4,0.607,0.623,42.6,0.0,9.1,14.5,11.0,0.08,0.03,0.13,0.2
77,Jr.,Lawrence,MIA,ACC,33,18,26.0,15.3,106.2,97.7,0.5589999999999999,0.517,35.8,57.2,3.8,13.2,7.8,0.13,0.03,0.02,0.19
78,Terance,Mann,FSU,ACC,35,34,25.0,15.2,122.1,102.3,0.62,0.593,44.9,11.6,8.6,11.5,9.3,0.11,0.02,0.01,0.15
79,Isaiah,Wilkins,UVA,ACC,33,28,26.5,14.8,119.5,88.1,0.599,0.568,35.2,4.3,11.7,17.4,13.3,0.08,0.03,0.07,0.15
80,Ty,Outlaw,VT,ACC,33,14,17.7,14.8,124.1,107.3,0.688,0.682,6.8,80.1,2.2,15.9,8.9,0.03,0.01,0.02,0.09
81,Connar,Tava,BC,ACC,32,27,25.3,14.7,95.6,108.0,0.552,0.5,58.8,22.8,6.4,18.6,11.4,0.14,0.02,0.01,0.29
82,Kamari,Murphy,MIA,ACC,33,33,29.4,14.7,102.4,99.6,0.5329999999999999,0.508,36.5,0.5,9.9,19.5,13.5,0.04,0.01,0.03,0.19
83,Tyler,Roberson,SYR,ACC,34,6,20.4,14.6,107.7,103.4,0.557,0.5660000000000001,41.2,0.0,11.0,16.3,12.5,0.08,0.02,0.05,0.19
84,Nate,Britt,UNC,ACC,40,7,19.0,14.1,103.5,99.0,0.45899999999999996,0.425,20.4,43.1,1.5,8.8,4.7,0.18,0.03,0.0,0.16
85,A.J.,Turner,BC,ACC,32,28,30.8,14.0,112.3,111.9,0.547,0.531,17.5,57.2,2.3,10.1,5.6,0.17,0.01,0.01,0.12
86,Mitchell,Wilbekin,WAKE,ACC,32,10,24.8,13.7,115.4,114.3,0.5529999999999999,0.489,31.6,65.5,0.7,6.0,3.1,0.1,0.02,0.0,0.09
87,Josh,Heath,GT,ACC,33,24,30.7,13.6,85.2,100.6,0.467,0.429,26.0,25.4,1.5,7.6,4.3,0.26,0.02,0.01,0.31
88,Kenny,Williams,UNC,ACC,26,22,23.7,13.5,112.6,100.5,0.532,0.514,21.6,57.6,5.8,9.1,6.9,0.14,0.02,0.01,0.17
89,Markell,Johnson,NCST,ACC,30,3,20.4,13.2,95.0,112.4,0.446,0.426,21.3,39.3,2.9,5.9,4.1,0.18,0.02,0.02,0.19
90,Chris,Jones,PITT,ACC,32,31,32.1,13.1,103.6,113.4,0.565,0.509,59.0,24.8,2.3,8.4,5.0,0.13,0.01,0.01,0.21
91,Jack,Salt,UVA,ACC,34,34,18.4,12.5,111.9,91.9,0.5589999999999999,0.5589999999999999,48.4,0.0,11.1,17.2,12.9,0.04,0.01,0.05,0.16
92,Matt,Jones,DUKE,ACC,37,33,32.9,12.0,108.9,103.0,0.519,0.504,10.9,61.3,3.7,6.0,4.6,0.1,0.03,0.01,0.14
93,Rex,Pflueger,ND,ACC,35,11,21.4,11.9,112.9,103.3,0.563,0.545,21.8,51.1,2.8,11.9,6.9,0.12,0.03,0.02,0.14
94,Corey,Heyward,GT,ACC,37,24,16.8,8.4,93.0,101.0,0.428,0.371,45.7,47.1,3.2,8.5,5.5,0.11,0.02,0.0,0.18
95,Jawun,Evans,OKST,Big 12,32,32,29.2,32.7,116.8,107.8,0.541,0.475,39.6,19.7,2.9,10.9,6.2,0.44,0.03,0.01,0.14
96,Johnathan,Motley,BAYLOR,Big 12,34,34,30.5,30.4,112.2,95.9,0.5720000000000001,0.531,42.2,7.6,15.3,22.9,17.5,0.17,0.01,0.04,0.16
97,Deonte,Burton,IOWAST,Big 12,35,35,29.5,28.2,100.1,95.0,0.531,0.503,26.3,25.2,4.4,18.6,11.0,0.11,0.03,0.05,0.14
98,Josh,Jackson,KAN,Big 12,35,35,30.8,27.1,109.7,95.6,0.5660000000000001,0.552,40.3,21.0,8.7,17.4,12.3,0.18,0.03,0.04,0.16
99,Jordan,Woodard,OU,Big 12,20,19,29.5,27.0,102.9,100.4,0.525,0.46299999999999997,31.6,43.0,2.6,14.3,7.7,0.22,0.04,0.0,0.15
100,Keenan,Evans,TEXTCH,Big 12,31,30,30.4,25.6,118.9,102.9,0.597,0.5379999999999999,36.7,34.4,3.2,8.7,5.6,0.21,0.02,0.01,0.12
