,First_name,Last_name,Team,Conference,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
189,Zak,Irvin,MICH,Big Ten,38,38,35.4,22.5,105.1,105.2,0.534,0.516,17.7,36.5,2.3,14.3,7.9,0.17,0.02,0.0,0.13
190,Ed,Morrow,NEB,Big Ten,24,18,23.4,22.2,100.9,102.3,0.54,0.514,37.4,0.0,14.2,21.0,16.1,0.03,0.01,0.05,0.18
191,Trevor,Thompson,OSU,Big Ten,32,20,23.0,22.1,118.6,92.5,0.62,0.5710000000000001,57.1,0.0,13.7,29.6,20.5,0.04,0.01,0.08,0.14
192,Thomas,Bryant,IND,Big Ten,34,34,28.1,21.9,114.1,101.6,0.61,0.56,51.9,21.1,9.7,17.2,12.7,0.1,0.02,0.06,0.18
193,Jordan,Murphy,MINN,Big Ten,34,34,27.5,21.7,105.1,92.4,0.544,0.509,51.6,11.1,9.6,23.5,15.2,0.06,0.01,0.04,0.14
194,JaQuan,Lyle,OSU,Big Ten,31,23,29.3,21.7,107.7,103.0,0.5660000000000001,0.521,40.5,30.7,1.3,10.2,5.6,0.31,0.02,0.0,0.19
195,Vincent,Edwards,PUR,Big Ten,35,27,28.6,21.5,120.4,99.5,0.598,0.5579999999999999,27.1,33.7,8.4,11.7,9.4,0.21,0.01,0.02,0.14
196,Glynn,Watson Jr.,NEB,Big Ten,31,29,31.6,21.4,108.9,104.8,0.529,0.48700000000000004,24.3,35.1,1.7,9.0,4.8,0.17,0.03,0.0,0.11
197,Cordell,Pemsl,IOWA,Big Ten,34,14,19.3,21.4,112.1,101.7,0.625,0.617,63.8,0.5,10.1,17.4,12.9,0.11,0.02,0.04,0.18
198,Vic,Law,NU,Big Ten,36,36,32.1,21.4,105.5,97.8,0.529,0.484,33.4,40.5,4.6,15.5,9.2,0.11,0.02,0.02,0.12
199,Isaiah,Moss,IOWA,Big Ten,34,28,17.1,20.9,94.7,107.3,0.505,0.483,15.2,39.7,1.7,8.4,4.7,0.09,0.02,0.02,0.14
200,Maverick,Morgan,ILL,Big Ten,35,25,25.6,20.7,105.0,102.6,0.5670000000000001,0.54,35.1,0.0,8.0,12.8,9.8,0.07,0.01,0.04,0.16
201,Cassius,Winston,MSU,Big Ten,35,5,20.7,20.6,106.6,102.8,0.5529999999999999,0.49700000000000005,39.0,39.0,1.0,8.6,4.8,0.47,0.02,0.01,0.27
202,Akeem,Springs,MINN,Big Ten,32,14,24.1,20.6,103.8,101.0,0.525,0.506,17.5,65.3,2.4,10.3,5.9,0.11,0.01,0.01,0.09
203,Shep,Garner,PSU,Big Ten,33,29,32.1,20.6,98.8,103.7,0.523,0.496,17.9,65.5,1.3,8.4,4.5,0.15,0.02,0.0,0.14
204,Marc,Loving,OSU,Big Ten,32,32,33.9,20.5,99.5,104.1,0.565,0.515,40.7,51.5,3.6,11.4,7.1,0.1,0.01,0.02,0.2
205,Payton,Banks,PSU,Big Ten,32,13,26.7,20.3,102.4,106.4,0.521,0.485,20.4,68.7,1.5,7.7,4.2,0.07,0.01,0.01,0.09
206,Dupree,McBrayer,MINN,Big Ten,34,21,27.8,20.3,108.0,101.9,0.5579999999999999,0.509,39.3,30.9,1.0,6.3,3.4,0.2,0.02,0.01,0.13
207,Justin,Jackson,MD,Big Ten,33,30,27.8,20.2,107.1,98.3,0.561,0.524,36.0,39.3,7.4,16.9,11.3,0.07,0.02,0.03,0.15
208,Vitto,Brown,WIS,Big Ten,37,37,21.0,20.0,100.2,97.4,0.515,0.494,14.3,59.7,7.1,15.0,10.1,0.09,0.02,0.03,0.18
209,Anthony,Cowan,MD,Big Ten,33,33,29.0,19.9,109.9,100.8,0.5710000000000001,0.48,68.1,35.4,3.6,11.5,7.1,0.25,0.03,0.01,0.2
210,Mike,Williams,RUTG,Big Ten,33,12,26.2,19.4,109.6,101.0,0.504,0.469,24.1,48.6,8.4,12.4,9.4,0.09,0.02,0.01,0.1
211,Alvin,Ellis III,MSU,Big Ten,35,8,19.4,19.3,98.4,100.4,0.5489999999999999,0.514,31.7,62.8,4.1,13.7,8.6,0.12,0.02,0.02,0.19
212,Jordan,Bohannon,IOWA,Big Ten,34,28,29.6,19.2,110.6,109.5,0.5670000000000001,0.535,18.1,70.4,1.0,7.0,3.8,0.3,0.02,0.0,0.19
213,Mike,Watkins,PSU,Big Ten,33,24,23.8,19.1,115.1,91.0,0.613,0.59,45.2,0.0,11.3,26.2,17.2,0.06,0.02,0.12,0.14
214,Amir,Coffey,MINN,Big Ten,33,33,33.3,19.0,108.6,100.4,0.5670000000000001,0.503,50.0,32.5,2.3,9.5,5.5,0.18,0.02,0.0,0.15
215,Gavin,Skelly,NU,Big Ten,36,0,17.7,19.0,107.7,97.1,0.5770000000000001,0.523,44.5,38.7,9.2,13.8,10.4,0.14,0.01,0.08,0.2
216,Reggie,Lynch,MINN,Big Ten,33,33,23.2,18.9,105.6,90.1,0.575,0.5429999999999999,48.7,0.0,9.9,17.4,12.5,0.04,0.01,0.15,0.17
217,Tracy,Abrams,ILL,Big Ten,35,30,24.2,18.9,108.8,100.0,0.557,0.531,24.2,52.0,1.1,13.0,6.6,0.19,0.03,0.01,0.14
218,C.J.,Gettys,RUTG,Big Ten,33,33,22.0,18.6,106.3,100.0,0.57,0.544,32.3,0.0,9.4,16.4,11.6,0.12,0.01,0.04,0.19
219,Josh,Newkirk,IND,Big Ten,34,32,28.1,18.6,103.5,108.5,0.534,0.506,24.2,35.4,2.9,9.4,5.9,0.2,0.01,0.01,0.21
220,Duncan,Robinson,MICH,Big Ten,38,3,20.1,18.4,123.3,106.8,0.635,0.619,14.9,70.2,1.9,9.3,5.3,0.08,0.01,0.01,0.08
221,D'Mitrik,Trice,WIS,Big Ten,37,2,18.3,18.4,105.0,99.3,0.518,0.484,20.7,49.5,1.2,11.1,5.6,0.17,0.02,0.01,0.16
222,D.J.,Wilson,MICH,Big Ten,38,36,30.4,18.3,123.2,102.4,0.632,0.605,19.7,36.1,6.7,16.3,10.8,0.09,0.01,0.05,0.11
223,Jalen,Coleman-Lands,ILL,Big Ten,35,15,24.3,18.1,100.5,102.9,0.522,0.504,9.7,72.8,1.0,10.5,5.3,0.08,0.02,0.01,0.12
224,C.J.,Jackson,OSU,Big Ten,32,9,19.1,17.8,104.8,101.3,0.523,0.483,37.4,55.1,2.5,11.4,6.7,0.27,0.03,0.0,0.2
225,Damonte,Dodd,MD,Big Ten,26,24,19.5,17.5,108.6,100.3,0.585,0.581,70.5,0.0,16.2,9.5,11.8,0.04,0.01,0.11,0.21
226,Michael,Finke,ILL,Big Ten,32,8,19.8,17.3,113.0,102.5,0.593,0.59,18.0,52.3,9.1,16.0,11.7,0.07,0.01,0.01,0.14
227,Kam,Williams,OSU,Big Ten,32,29,30.7,17.0,100.6,106.2,0.513,0.48200000000000004,13.4,48.2,1.1,6.2,3.5,0.06,0.01,0.01,0.1
228,Kevin,Huerter,MD,Big Ten,33,33,29.4,16.9,110.1,98.9,0.556,0.544,10.6,66.3,2.7,16.0,8.8,0.18,0.02,0.02,0.14
229,Joshua,Langford,MSU,Big Ten,35,27,21.0,16.7,107.9,105.3,0.604,0.595,13.8,47.1,4.3,8.2,5.9,0.1,0.01,0.0,0.16
230,Josh,Reaves,PSU,Big Ten,28,23,27.1,16.7,97.2,96.0,0.532,0.5,26.5,32.6,5.3,11.0,7.5,0.15,0.05,0.03,0.21
231,Jack,McVeigh,NEB,Big Ten,30,11,22.9,16.7,108.5,107.7,0.526,0.49200000000000005,20.9,70.9,2.1,10.3,5.6,0.05,0.01,0.01,0.09
232,Ahmad,Wagner,IOWA,Big Ten,34,18,16.0,16.6,109.3,104.0,0.515,0.512,66.7,1.6,12.6,10.2,10.6,0.15,0.03,0.03,0.16
233,Jaylen,Brantley,MD,Big Ten,33,0,16.8,16.5,103.3,102.7,0.513,0.493,23.6,57.6,1.9,10.9,6.0,0.11,0.02,0.0,0.12
234,Eric,Curry,MINN,Big Ten,34,1,19.9,16.4,102.6,95.4,0.5,0.447,40.0,18.1,8.5,18.4,12.4,0.12,0.01,0.03,0.16
235,Muhammad-Ali,Abdur-Rahkman,MICH,Big Ten,38,37,30.6,16.2,117.1,106.2,0.584,0.544,31.3,42.9,3.1,8.7,5.5,0.12,0.02,0.0,0.12
236,Juwan,Morgan,IND,Big Ten,32,20,22.6,15.7,125.0,102.6,0.631,0.58,56.1,25.5,11.0,17.2,13.2,0.08,0.02,0.04,0.16
237,Te'Jon,Lucas,ILL,Big Ten,31,15,20.7,15.6,96.5,100.7,0.506,0.461,61.7,27.8,1.3,9.4,5.0,0.26,0.03,0.0,0.26
238,Michael,Jacobson,NEB,Big Ten,31,31,24.0,15.6,102.5,102.8,0.442,0.402,31.0,12.5,12.5,15.9,13.0,0.08,0.02,0.04,0.12
239,Matt,McQuaid,MSU,Big Ten,34,11,21.0,15.5,101.2,106.0,0.502,0.474,20.2,69.4,3.3,6.8,4.8,0.1,0.01,0.0,0.13
240,Nicholas,Baer,IOWA,Big Ten,34,10,23.8,14.7,121.9,98.7,0.573,0.562,21.7,57.1,9.3,16.7,12.2,0.13,0.03,0.05,0.11
241,Dakota,Mathias,PUR,Big Ten,35,35,31.8,14.5,121.3,99.3,0.634,0.614,15.5,63.3,1.3,12.3,6.7,0.2,0.02,0.0,0.16
242,Dererk,Pardon,NU,Big Ten,28,28,30.8,13.7,122.7,95.6,0.612,0.611,40.7,0.0,12.1,16.9,13.2,0.07,0.02,0.06,0.13
243,Issa,Thiam,RUTG,Big Ten,31,21,18.4,13.5,88.3,105.2,0.45299999999999996,0.45,6.2,76.7,2.0,8.4,4.6,0.03,0.01,0.0,0.15
244,Evan,Taylor,NEB,Big Ten,31,21,24.4,13.5,91.4,106.0,0.47,0.43200000000000005,23.9,16.1,2.3,10.9,5.9,0.09,0.02,0.0,0.18
245,Zak,Showalter,WIS,Big Ten,37,37,29.5,13.3,124.4,96.6,0.647,0.614,24.8,57.5,3.1,8.7,5.4,0.11,0.03,0.01,0.15
246,Ryan,Cline,PUR,Big Ten,31,7,21.4,12.2,116.5,101.7,0.605,0.593,8.2,81.3,1.0,9.4,5.1,0.12,0.01,0.01,0.14
247,P.J.,Thompson,PUR,Big Ten,35,35,28.6,11.9,128.9,100.9,0.613,0.594,23.0,69.1,3.0,5.4,4.0,0.17,0.02,0.0,0.11
248,Kenny,Goins,MSU,Big Ten,35,14,18.3,10.8,100.8,99.1,0.605,0.578,39.8,0.0,7.4,20.4,13.4,0.06,0.01,0.03,0.28
249,Lourawls,Nairn Jr.,MSU,Big Ten,35,30,22.8,10.7,104.2,104.1,0.48200000000000004,0.47,22.6,32.2,0.5,11.3,5.9,0.27,0.01,0.01,0.24
250,Sanjay,Lumpkin,NU,Big Ten,36,36,27.8,10.0,128.1,99.0,0.6409999999999999,0.612,50.0,36.2,6.0,15.6,9.9,0.09,0.01,0.02,0.13
251,Dillon,Brooks,ORE,PAC-12,35,27,25.3,31.5,114.6,98.0,0.591,0.556,29.9,33.6,4.9,9.6,6.8,0.23,0.03,0.02,0.13
252,Markelle,Fultz,WASH,PAC-12,25,25,35.7,31.3,114.2,110.5,0.564,0.535,38.3,28.7,4.0,14.0,8.1,0.36,0.03,0.03,0.14
253,Stephen,Thompson Jr.,OREST,PAC-12,26,26,36.2,27.7,96.3,109.6,0.502,0.473,30.0,44.8,3.8,10.0,6.4,0.21,0.02,0.01,0.15
254,Reid,Travis,STAN,PAC-12,27,27,30.1,27.4,115.2,103.4,0.613,0.579,59.5,0.3,13.4,21.7,16.0,0.04,0.01,0.01,0.13
255,Kyle,Kuzma,UTAH,PAC-12,29,29,30.8,26.8,114.5,95.8,0.5710000000000001,0.542,35.2,23.3,11.3,23.3,16.1,0.15,0.01,0.02,0.13
256,Charlie,Moore,CAL,PAC-12,34,34,28.8,26.6,96.4,97.9,0.51,0.45299999999999996,37.6,36.8,1.4,6.3,3.6,0.27,0.02,0.0,0.2
257,Allonzo,Trier,ARIZ,PAC-12,18,13,31.9,25.4,123.8,100.8,0.622,0.545,58.6,43.9,1.1,17.7,9.3,0.17,0.01,0.0,0.11
258,Derrick,White,CU,PAC-12,34,33,32.8,25.2,123.2,103.4,0.635,0.578,45.0,35.6,3.5,10.5,6.4,0.29,0.02,0.05,0.14
259,Xavier,Johnson,CU,PAC-12,32,31,28.0,25.1,115.7,105.1,0.585,0.5479999999999999,46.9,30.4,6.8,17.1,10.9,0.08,0.01,0.01,0.1
260,Torian,Graham,ASU,PAC-12,33,22,34.7,25.0,109.9,114.8,0.5710000000000001,0.5539999999999999,10.9,54.4,1.8,12.2,6.2,0.07,0.02,0.01,0.08
261,Conor,Clifford,WSU,PAC-12,31,30,19.7,24.9,102.5,112.8,0.622,0.589,22.0,0.5,3.7,12.3,7.6,0.1,0.0,0.03,0.18
262,David,Collette,UTAH,PAC-12,22,22,25.4,24.9,116.9,95.8,0.617,0.601,38.5,1.4,8.7,14.5,10.8,0.08,0.02,0.04,0.12
263,Drew,Eubanks,OREST,PAC-12,32,32,32.1,24.0,106.2,103.9,0.624,0.5870000000000001,44.8,0.0,9.5,21.0,14.1,0.1,0.01,0.08,0.21
264,Chris,Boucher,ORE,PAC-12,31,12,23.5,23.5,116.7,91.6,0.597,0.591,31.6,38.3,9.2,20.1,13.8,0.04,0.01,0.12,0.1
265,Ivan,Rabb,CAL,PAC-12,31,30,32.6,23.5,108.6,90.8,0.55,0.49700000000000005,59.9,6.4,10.7,25.6,16.7,0.11,0.01,0.03,0.15
266,Dusan,Ristic,ARIZ,PAC-12,36,34,22.8,23.5,117.2,99.2,0.591,0.5579999999999999,27.5,0.7,9.9,18.3,13.3,0.04,0.01,0.02,0.11
267,Jabari,Bird,CAL,PAC-12,27,25,32.0,23.5,106.3,97.3,0.565,0.542,17.3,56.0,3.5,13.2,7.7,0.08,0.01,0.01,0.13
268,Robert,Franks,WSU,PAC-12,31,0,16.4,23.4,94.1,110.5,0.53,0.49700000000000005,24.7,36.7,6.9,16.1,10.9,0.1,0.01,0.04,0.18
269,Isaac,Hamilton,UCLA,PAC-12,36,36,30.0,23.2,108.1,107.3,0.562,0.54,13.4,47.4,3.4,9.0,6.1,0.14,0.01,0.01,0.14
270,Chimezie,Metu,USC,PAC-12,36,36,31.3,23.0,113.6,102.4,0.603,0.5529999999999999,47.5,0.5,7.5,20.3,13.0,0.09,0.01,0.05,0.15
271,Michael,Humphrey,STAN,PAC-12,30,25,24.0,23.0,99.7,99.8,0.508,0.46799999999999997,28.2,10.9,10.9,20.1,14.2,0.08,0.02,0.03,0.15
272,Tyler,Dorsey,ORE,PAC-12,39,39,30.0,22.8,119.1,101.4,0.612,0.575,34.3,51.4,3.5,9.5,6.2,0.11,0.02,0.0,0.11
273,Tra,Holder,ASU,PAC-12,33,33,35.6,22.8,112.3,116.9,0.562,0.49200000000000005,50.5,32.1,3.4,8.2,5.2,0.17,0.01,0.0,0.12
274,Aaron,Holiday,UCLA,PAC-12,36,0,26.4,22.5,114.1,104.6,0.616,0.5710000000000001,35.9,41.7,1.5,9.5,5.6,0.24,0.02,0.01,0.2
275,Lauri,Markkanen,ARIZ,PAC-12,37,37,30.8,22.3,132.6,99.8,0.643,0.584,43.6,43.4,10.0,17.5,13.0,0.06,0.01,0.02,0.08
276,TJ,Leaf,UCLA,PAC-12,35,35,29.9,22.0,129.7,100.9,0.665,0.652,27.8,15.2,9.1,19.7,14.0,0.13,0.01,0.04,0.11
277,Kobi,Simmons,ARIZ,PAC-12,37,19,23.5,21.9,104.5,103.1,0.504,0.452,31.7,34.9,1.9,6.0,3.8,0.16,0.02,0.0,0.13
278,David,Crisp,WASH,PAC-12,31,31,32.9,21.9,104.6,117.7,0.537,0.516,19.1,57.2,2.7,8.1,4.9,0.17,0.01,0.0,0.16
279,Marcus,Sheffield,STAN,PAC-12,31,5,18.9,21.4,94.9,104.3,0.49200000000000005,0.426,35.2,39.0,0.2,9.7,4.5,0.16,0.03,0.0,0.15
280,Shannon,Evans II,ASU,PAC-12,33,33,35.7,21.2,112.4,115.0,0.555,0.503,30.6,51.3,1.5,9.2,4.7,0.23,0.02,0.01,0.12
281,Rawle,Alkins,ARIZ,PAC-12,37,36,28.0,21.2,111.9,98.8,0.5720000000000001,0.534,32.7,38.5,7.1,13.6,9.8,0.14,0.02,0.02,0.16
282,Noah,Dickerson,WASH,PAC-12,31,27,27.2,21.0,117.7,111.2,0.59,0.5489999999999999,53.2,3.4,10.7,22.9,15.2,0.05,0.01,0.02,0.12
283,Josh,Hawkinson,WSU,PAC-12,31,31,35.4,20.9,120.2,106.4,0.628,0.574,38.7,21.2,6.4,26.4,15.7,0.15,0.01,0.02,0.12
284,Sedrick,Barefield,UTAH,PAC-12,24,3,23.7,20.9,102.5,100.7,0.557,0.515,33.9,50.0,1.8,6.9,4.1,0.14,0.02,0.0,0.19
285,Ike,Iroegbu,WSU,PAC-12,31,31,34.3,20.9,105.1,113.0,0.55,0.507,44.1,29.6,3.0,10.8,6.6,0.2,0.01,0.0,0.16
286,George,King,CU,PAC-12,34,32,27.7,20.8,106.7,104.8,0.561,0.5379999999999999,26.2,41.4,7.9,19.5,12.6,0.05,0.01,0.01,0.15
287,Obinna,Oleka,ASU,PAC-12,33,32,32.9,20.7,105.3,108.9,0.524,0.466,44.5,29.0,9.6,24.5,15.3,0.07,0.02,0.03,0.14
288,Dorian,Pickens,STAN,PAC-12,31,31,29.9,20.6,111.9,105.1,0.5870000000000001,0.545,37.3,58.9,2.9,11.2,6.4,0.08,0.02,0.0,0.11
289,Shaqquan,Aaron,USC,PAC-12,36,20,20.8,20.2,104.2,109.1,0.515,0.47200000000000003,32.3,47.4,4.8,12.0,7.8,0.1,0.01,0.01,0.12
290,Carlos,Johnson,WASH,PAC-12,31,4,17.9,20.1,93.0,116.5,0.45799999999999996,0.426,30.9,18.3,8.8,9.6,8.4,0.07,0.01,0.01,0.16
291,Elijah,Stewart,USC,PAC-12,36,32,29.8,20.0,114.3,107.2,0.564,0.541,22.7,56.6,4.9,9.9,6.9,0.08,0.02,0.04,0.09
292,Jordan,McLaughlin,USC,PAC-12,36,36,34.1,19.8,116.0,107.7,0.575,0.525,33.7,33.1,2.7,8.9,5.4,0.3,0.03,0.0,0.17
293,Charles,Callison,WSU,PAC-12,31,26,27.3,19.8,101.4,110.7,0.5660000000000001,0.54,15.2,39.6,0.7,6.3,3.4,0.16,0.03,0.01,0.16
294,Lorenzo,Bonam,UTAH,PAC-12,32,29,29.8,19.3,120.1,97.5,0.675,0.633,41.8,34.7,2.2,9.3,5.5,0.18,0.03,0.01,0.19
295,Jaquori,McLaughlin,OREST,PAC-12,32,30,33.8,19.2,97.6,112.6,0.516,0.48100000000000004,23.7,53.6,0.7,6.9,3.5,0.21,0.02,0.01,0.18
296,Bryce,Alford,UCLA,PAC-12,36,36,33.0,19.1,127.7,109.4,0.636,0.597,30.2,69.8,1.1,6.5,3.8,0.11,0.01,0.0,0.07
297,Marcus,Allen,STAN,PAC-12,31,28,26.9,18.8,93.3,104.2,0.488,0.451,34.7,24.4,1.8,8.5,4.7,0.15,0.03,0.0,0.16
298,Dylan,Ennis,ORE,PAC-12,39,39,31.7,18.8,109.7,98.1,0.55,0.507,33.9,44.0,2.8,12.7,7.4,0.17,0.02,0.02,0.16
299,Jonah,Mathews,USC,PAC-12,35,3,20.4,18.7,104.6,108.1,0.496,0.466,23.3,57.0,2.3,7.7,4.7,0.1,0.03,0.0,0.08
300,Robert,Cartwright,STAN,PAC-12,31,12,24.7,18.2,94.4,105.6,0.457,0.42100000000000004,20.1,49.8,0.8,8.1,4.0,0.28,0.02,0.0,0.17
301,Devon,Daniels,UTAH,PAC-12,29,26,26.9,18.2,113.9,96.9,0.632,0.606,32.3,17.7,4.0,15.2,9.1,0.17,0.02,0.02,0.2
302,Lonzo,Ball,UCLA,PAC-12,36,36,35.1,18.1,130.3,100.5,0.679,0.6679999999999999,28.6,56.6,3.2,14.3,8.8,0.31,0.03,0.02,0.19
303,Kadeem,Allen,ARIZ,PAC-12,34,33,30.0,18.0,110.1,95.8,0.578,0.521,49.2,31.8,1.5,13.7,7.5,0.18,0.03,0.02,0.19
304,Malachi,Flynn,WSU,PAC-12,31,31,33.1,18.0,95.2,113.9,0.531,0.506,18.6,57.0,1.0,9.0,4.8,0.16,0.01,0.0,0.19
305,JoJo,Zamora,UTAH,PAC-12,32,20,20.0,18.0,105.7,100.8,0.5770000000000001,0.545,21.0,50.6,1.7,6.3,3.8,0.09,0.02,0.01,0.17
306,Jordan,Bell,ORE,PAC-12,39,38,28.9,17.8,123.1,88.9,0.6659999999999999,0.6409999999999999,43.5,5.2,12.3,22.3,16.3,0.11,0.03,0.09,0.19
307,Josh,Fortune,CU,PAC-12,34,17,20.3,17.7,100.0,106.6,0.506,0.441,31.5,57.3,3.7,13.1,7.7,0.13,0.01,0.02,0.18
308,De'Anthony,Melton,USC,PAC-12,36,25,27.0,17.6,109.7,99.8,0.5379999999999999,0.483,47.2,32.0,6.0,13.7,9.1,0.23,0.04,0.04,0.19
309,Chance,Comanche,ARIZ,PAC-12,37,2,18.1,17.6,113.0,100.8,0.615,0.5710000000000001,47.4,0.0,7.7,15.5,11.0,0.04,0.01,0.02,0.17
310,Thomas,Welsh,UCLA,PAC-12,32,32,25.1,17.5,133.1,98.3,0.619,0.5870000000000001,18.2,0.4,10.7,25.5,17.7,0.06,0.01,0.05,0.05
311,Matisse,Thybulle,WASH,PAC-12,31,31,29.8,17.5,105.9,109.7,0.578,0.55,16.9,50.2,2.9,8.7,5.3,0.1,0.04,0.02,0.18
312,Tyler,Rawson,UTAH,PAC-12,32,8,19.5,17.3,108.3,96.3,0.5529999999999999,0.51,43.2,43.8,6.8,14.6,10.0,0.15,0.02,0.03,0.2
313,Kendal,Manuel,OREST,PAC-12,32,25,28.8,17.2,91.2,111.5,0.508,0.489,14.8,59.0,1.7,8.1,4.6,0.12,0.02,0.0,0.19
314,Grant,Mullins,CAL,PAC-12,32,25,31.2,16.3,116.2,97.1,0.594,0.563,22.1,65.2,0.8,10.8,5.4,0.13,0.02,0.0,0.12
315,Dominic,Green,WASH,PAC-12,30,2,21.6,16.1,89.3,116.9,0.425,0.39399999999999996,16.1,55.6,3.5,7.3,4.9,0.05,0.01,0.02,0.13
316,Gligorije,Rakocevic,OREST,PAC-12,32,14,18.7,16.1,90.2,110.6,0.507,0.48700000000000004,47.9,16.0,9.4,14.0,10.9,0.02,0.01,0.02,0.21
317,Sam,Singer,CAL,PAC-12,34,9,20.1,15.2,94.0,95.1,0.478,0.47200000000000003,27.1,26.4,2.0,14.5,7.6,0.2,0.02,0.0,0.2
318,Payton,Pritchard,ORE,PAC-12,39,35,28.3,15.1,111.3,98.8,0.53,0.496,25.8,58.6,2.6,10.7,6.3,0.21,0.02,0.0,0.17
319,Parker,Van Dyke,UTAH,PAC-12,31,11,16.5,15.0,109.4,99.0,0.508,0.507,9.6,63.2,0.7,11.8,6.0,0.12,0.02,0.01,0.08
320,Kodi,Justice,ASU,PAC-12,33,26,31.1,15.0,107.6,113.1,0.583,0.555,23.4,64.3,1.3,9.2,4.7,0.14,0.02,0.02,0.17
321,Wesley,Gordon,CU,PAC-12,32,31,24.6,14.8,115.1,101.4,0.5660000000000001,0.519,54.5,3.9,10.3,18.7,13.3,0.14,0.01,0.07,0.18
322,Kingsley,Okoroh,CAL,PAC-12,34,24,21.2,13.8,101.0,89.2,0.521,0.504,44.1,0.0,11.5,18.1,13.6,0.09,0.01,0.11,0.22
323,Christian,Sanders,STAN,PAC-12,31,17,17.2,13.6,90.3,105.2,0.536,0.486,53.5,32.4,0.7,12.9,6.2,0.34,0.02,0.01,0.39
324,Parker,Jackson-Cartwright,ARIZ,PAC-12,31,10,24.9,13.4,118.7,99.0,0.581,0.541,40.6,53.4,1.7,9.6,5.5,0.28,0.03,0.01,0.21
325,Casey,Benson,ORE,PAC-12,39,4,20.9,12.2,117.0,102.0,0.595,0.5529999999999999,34.0,56.0,2.0,7.0,4.3,0.14,0.02,0.0,0.17
326,Yante,Maten,UGA,SEC,29,28,29.0,30.6,113.2,98.8,0.605,0.5489999999999999,60.3,12.5,10.2,15.7,12.1,0.13,0.02,0.05,0.14
327,Sindarius,Thornwell,SCAR,SEC,31,31,34.3,28.9,120.6,88.8,0.6,0.51,59.0,33.7,8.0,15.9,10.7,0.19,0.04,0.03,0.12
328,J.J.,Frazier,UGA,SEC,34,34,34.6,28.5,110.1,100.3,0.5489999999999999,0.462,43.1,36.9,1.2,10.5,5.7,0.27,0.03,0.0,0.12
329,PJ,Dozier,SCAR,SEC,36,36,29.0,28.2,97.5,90.5,0.47600000000000003,0.452,27.5,30.1,4.1,15.1,8.6,0.23,0.03,0.01,0.13
330,Terence,Davis,MISS,SEC,36,27,25.3,27.9,109.7,100.7,0.5720000000000001,0.541,28.7,35.4,6.0,16.0,10.0,0.17,0.03,0.02,0.14
331,Frankie,Hughes,MIZZOU,SEC,30,11,19.3,27.6,80.7,104.5,0.40399999999999997,0.38299999999999995,20.4,64.6,2.5,12.3,6.5,0.14,0.02,0.0,0.12
332,Deandre,Burnett,MISS,SEC,33,27,30.0,27.6,108.2,108.8,0.5579999999999999,0.449,55.8,49.6,1.6,5.8,3.4,0.21,0.02,0.01,0.16
333,Jaylen,Barford,ARK,SEC,36,30,25.4,27.4,101.7,105.1,0.516,0.475,27.5,27.5,4.9,11.2,7.5,0.16,0.03,0.01,0.14
334,De'Aaron,Fox,UK,SEC,36,34,29.6,27.4,112.2,96.5,0.556,0.498,47.4,15.4,2.1,12.2,6.6,0.29,0.03,0.01,0.14
335,Malik,Monk,UK,SEC,38,37,32.1,27.2,116.1,100.4,0.5920000000000001,0.5429999999999999,32.3,47.0,1.1,7.2,3.8,0.13,0.02,0.02,0.11
336,Dusty,Hannahs,ARK,SEC,36,23,24.8,27.0,113.4,112.2,0.595,0.535,31.1,49.9,2.6,5.0,3.5,0.1,0.01,0.01,0.12
337,Matthew,Fisher-Davis,VANDY,SEC,34,22,27.9,26.2,106.8,103.7,0.5720000000000001,0.521,33.7,63.0,1.4,11.5,6.2,0.09,0.01,0.01,0.11
338,Tyler,Davis,TXA&M,SEC,31,31,26.2,26.1,113.8,102.2,0.6509999999999999,0.617,56.9,0.4,13.5,16.0,13.5,0.12,0.01,0.04,0.2
339,Quinndary,Weatherspoon,MSST,SEC,29,29,31.9,26.0,108.6,99.9,0.5720000000000001,0.5329999999999999,30.1,34.1,4.9,12.7,8.2,0.13,0.03,0.01,0.13
340,Mustapha,Heron,AUB,SEC,32,32,28.2,25.8,108.1,106.8,0.574,0.506,51.7,30.2,6.1,17.0,10.5,0.1,0.02,0.01,0.15
341,Antonio,Blakeney,LSU,SEC,31,30,32.9,25.3,108.0,116.9,0.555,0.52,30.0,34.9,3.4,12.8,7.4,0.11,0.01,0.0,0.12
342,DJ,Hogg,TXA&M,SEC,22,18,29.6,25.0,97.1,101.8,0.499,0.488,18.0,49.2,5.1,13.6,8.7,0.23,0.02,0.04,0.18
343,Canyon,Barry,FLA,SEC,35,1,21.3,24.9,118.5,98.5,0.578,0.495,44.3,43.3,4.4,10.3,6.7,0.06,0.01,0.02,0.08
344,Lamar,Peters,MSST,SEC,30,17,24.6,24.8,101.8,102.7,0.537,0.498,28.2,60.5,1.8,8.3,4.7,0.27,0.03,0.01,0.19
345,Braxton,Key,ALA,SEC,34,30,29.8,24.7,95.7,95.6,0.524,0.483,47.7,30.2,6.0,15.3,9.7,0.19,0.01,0.02,0.21
