,Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
440,UCLA,Gyorgy,Goloman,35,5,11.5,15.6,113.6,97,0.605,0.586,35.5,10.8,7.9,14.5,10.9,0.081,0.029,0.068,0.176
441,UCLA,Isaac,Wulff,5,0,2,13.8,177,109.8,0.868,1,100,0,12.2,9.9,10.3,0,0,0,0
442,UCLA,Alec,Wulff,13,0,1.8,12,-,107.3,0.5,0.5,0,100,0,4.1,2.1,0.055,0.023,0,0
443,UCLA,Ikenna,Okwarabizie,12,0,2.6,11.8,37,101.6,0.216,0,300,0,3.9,19.1,11.6,0,0.018,0,0.393
444,Utah,Lorenzo,Bonam,32,29,29.8,19.3,120.1,97.5,0.675,0.633,41.8,34.7,2.2,9.3,5.5,0.179,0.027,0.012,0.191
445,Utah,Jayce,Johnson,32,6,12.3,18.3,101.2,92.9,0.551,0.565,57.6,0,13.6,26.5,18.7,0.017,0.006,0.052,0.195
446,Utah,Tyler,Rawson,32,8,19.5,17.3,108.3,96.3,0.553,0.51,43.2,43.8,6.8,14.6,10,0.154,0.018,0.028,0.195
447,Utah,JoJo,Zamora,32,20,20,18,105.7,100.8,0.577,0.545,21,50.6,1.7,6.3,3.8,0.091,0.016,0.013,0.165
448,Utah,Parker,Van Dyke,31,11,16.5,15,109.4,99,0.508,0.507,9.6,63.2,0.7,11.8,6,0.123,0.018,0.006,0.078
449,Utah,Devon,Daniels,29,26,26.9,18.2,113.9,96.9,0.632,0.606,32.3,17.7,4,15.2,9.1,0.172,0.018,0.017,0.201
450,Utah,Kyle,Kuzma,29,29,30.8,26.8,114.5,95.8,0.571,0.542,35.2,23.3,11.3,23.3,16.1,0.152,0.012,0.016,0.129
451,Utah,Gabe,Bealer,28,6,12.1,15.6,106.1,98.7,0.571,0.554,14.3,66.7,2.6,14.3,8,0.062,0.015,0.006,0.152
452,Utah,Sedrick,Barefield,24,3,23.7,20.9,102.5,100.7,0.557,0.515,33.9,50,1.8,6.9,4.1,0.137,0.019,0,0.186
453,Utah,David,Collette,22,22,25.4,24.9,116.9,95.8,0.617,0.601,38.5,1.4,8.7,14.5,10.8,0.082,0.018,0.037,0.123
454,Utah,Jake,Connor,14,0,5.4,14.8,120.4,100.2,0.643,0.658,5.3,89.5,0,5.8,2.8,0.13,0.023,0,0.134
455,Utah,Jakub,Jokl,12,0,3.8,14.7,102.4,88.7,0.618,0.571,114.3,0,2.7,33.4,17.4,0.034,0,0.089,0.222
456,Utah,Marc,Reininger,11,0,2.9,12.5,-,104,0.5,0.5,0,0,11.7,3.4,6.7,0,0,0.032,0.5
457,Utah,Beau,Rydalch,10,0,3.4,16,66.5,99.2,0.254,0.143,28.6,57.1,14.6,12.9,12.5,0.042,0.017,0,0.276
458,USC,Bennie,Boatwright,19,18,27.6,25.2,120.8,109.2,0.613,0.545,37.3,64.2,6.4,12,8.6,0.12,0.009,0.014,0.114
459,USC,Chimezie,Metu,36,36,31.3,23,113.6,102.4,0.603,0.553,47.5,0.5,7.5,20.3,13,0.089,0.014,0.049,0.147
460,USC,Harrison,Henderson,13,0,3.8,21.3,90.4,96.8,0.441,0.429,85.7,35.7,2.3,24.3,12.5,0.07,0.023,0.081,0.094
461,USC,Shaqquan,Aaron,36,20,20.8,20.2,104.2,109.1,0.515,0.472,32.3,47.4,4.8,12,7.8,0.099,0.011,0.008,0.123
462,USC,Elijah,Stewart,36,32,29.8,20,114.3,107.2,0.564,0.541,22.7,56.6,4.9,9.9,6.9,0.075,0.016,0.04,0.086
463,USC,Jordan,McLaughlin,36,36,34.1,19.8,116,107.7,0.575,0.525,33.7,33.1,2.7,8.9,5.4,0.296,0.025,0.003,0.165
464,USC,Jonah,Mathews,35,3,20.4,18.7,104.6,108.1,0.496,0.466,23.3,57,2.3,7.7,4.7,0.1,0.025,0.003,0.082
465,USC,De'Anthony,Melton,36,25,27,17.6,109.7,99.8,0.538,0.483,47.2,32,6,13.7,9.1,0.225,0.041,0.039,0.187
466,USC,Nick,Rakocevic,36,8,14.9,17.2,117.1,105.7,0.608,0.563,66.4,0,12.9,15.2,13,0.054,0.01,0.043,0.168
467,USC,Samer,Dhillon,7,0,1.3,16.7,-,106.7,0.5,0.5,0,66.7,0,24.6,11.6,0,0,0,0
468,USC,Kurt,Karis,13,0,1.8,15,86.7,116.7,0.773,0.667,66.7,0,5,0,2.3,0,0,0,0.436
469,USC,Charles,Buggs,24,2,8.8,11.5,119.7,101.8,0.701,0.681,25,38.9,4.9,17.2,10.3,0.033,0.022,0.048,0.184
470,USC,Devin,Fleming,4,0,1.5,8.3,-,79.5,0,0,0,0,0,36.9,17.4,0,0.097,0,0
471,California,Brandon,Chauca,1,0,1,51.6,-,104.6,0,0,0,100,0,0,0,0,0,0,0
472,California,Derek,King,1,0,1,51.6,-,105.9,0,0,0,100,0,0,0,0,0,0,0
473,California,Don,Coleman,27,1,11.4,27.6,86.1,99.4,0.449,0.393,50.9,17.9,5.2,9.9,6.9,0.108,0.008,0.003,0.17
474,California,Charlie,Moore,34,34,28.8,26.6,96.4,97.9,0.51,0.453,37.6,36.8,1.4,6.3,3.6,0.274,0.023,0,0.196
475,California,Jabari,Bird,27,25,32,23.5,106.3,97.3,0.565,0.542,17.3,56,3.5,13.2,7.7,0.077,0.013,0.008,0.127
476,California,Ivan,Rabb,31,30,32.6,23.5,108.6,90.8,0.55,0.497,59.9,6.4,10.7,25.6,16.7,0.109,0.013,0.033,0.145
477,California,Roman,Davis,15,0,3.3,22.3,79.6,98,0.391,0.412,29.4,5.9,7.1,18.4,11.7,0,0,0,0.094
478,California,Cole,Welle,12,0,4.2,22,117.8,92.3,0.516,0.55,15,10,20.8,22.5,19.8,0,0.012,0.022,0
479,California,Grant,Mullins,32,25,31.2,16.3,116.2,97.1,0.594,0.563,22.1,65.2,0.8,10.8,5.4,0.134,0.019,0.003,0.12
480,California,Stephen,Domingo,31,4,13.5,15.6,78.6,94.8,0.307,0.278,31.1,67,3.6,14.3,8.2,0.081,0.015,0.028,0.047
481,California,Kameron,Rooks,24,10,17.1,15.3,112.3,93.4,0.582,0.547,80,0,11.8,17.8,13.6,0.04,0.006,0.058,0.165
482,California,Sam,Singer,34,9,20.1,15.2,94,95.1,0.478,0.472,27.1,26.4,2,14.5,7.6,0.197,0.021,0.003,0.195
483,California,Roger,Moute a Bidias,30,8,11.9,15,95.3,98.4,0.477,0.373,47.9,49.3,5.8,11.3,7.9,0.048,0.009,0.012,0.173
484,California,Kingsley,Okoroh,34,24,21.2,13.8,101,89.2,0.521,0.504,44.1,0,11.5,18.1,13.6,0.087,0.01,0.111,0.217
485,California,Nick,Hamilton,12,0,3,12.7,74.5,104.1,0.291,0.25,33.3,83.3,9.6,3.1,5.8,0.1,0,0,0.225
486,California,Koko,Kurdoghlian,5,0,1.8,10.8,63.8,105.3,0.266,0,200,0,0,0,0,0,0,0,0
487,Colorado,Josh,Repine,7,0,1.3,27.7,-,115,0,0,0,25,0,0,0,0,0,0,0.2
488,Colorado,Derrick,White,34,33,32.8,25.2,123.2,103.4,0.635,0.578,45,35.6,3.5,10.5,6.4,0.286,0.022,0.049,0.143
489,Colorado,Xavier,Johnson,32,31,28,25.1,115.7,105.1,0.585,0.548,46.9,30.4,6.8,17.1,10.9,0.079,0.011,0.014,0.102
490,Colorado,George,King,34,32,27.7,20.8,106.7,104.8,0.561,0.538,26.2,41.4,7.9,19.5,12.6,0.053,0.01,0.008,0.145
491,Colorado,Dominique,Collier,25,15,18.5,19.4,99.3,105.7,0.497,0.438,38.5,60,1.4,5.4,3.1,0.156,0.03,0.007,0.156
492,Colorado,Tory,Miller,32,3,15.8,18.7,106.4,103.7,0.551,0.54,45.6,2.2,8.3,19.9,12.9,0.063,0.01,0.015,0.142
493,Colorado,Josh,Fortune,34,17,20.3,17.7,100,106.6,0.506,0.441,31.5,57.3,3.7,13.1,7.7,0.133,0.011,0.016,0.175
494,Colorado,Bryce,Peters,24,1,15.8,17.7,97.5,108.4,0.479,0.456,35.3,38.2,2,7.8,4.5,0.117,0.016,0.003,0.126
495,Colorado,Thomas,Akyazili,30,1,10.4,16.1,75.7,107,0.346,0.3,35.4,32.3,2.8,7.9,4.9,0.212,0.019,0.011,0.257
496,Colorado,Lucas,Siewert,32,3,11.5,16,92.3,107.7,0.425,0.405,14.7,48.4,7.5,12.9,9.4,0.072,0.008,0.012,0.144
497,Colorado,Deleon,Brown,31,3,12,15.6,98.9,109.1,0.501,0.46,31,58.6,2.4,4.3,3.1,0.086,0.017,0.009,0.147
498,Colorado,Wesley,Gordon,32,31,24.6,14.8,115.1,101.4,0.566,0.519,54.5,3.9,10.3,18.7,13.3,0.144,0.011,0.068,0.18
499,Colorado,Mitch,Lombard,7,0,1.3,11.1,-,110.1,0,0,0,0,0,12.6,5.7,0.343,0,0,0.5
500,Arizona State,Torian,Graham,33,22,34.7,25,109.9,114.8,0.571,0.554,10.9,54.4,1.8,12.2,6.2,0.072,0.015,0.011,0.076
501,Arizona State,Tra,Holder,33,33,35.6,22.8,112.3,116.9,0.562,0.492,50.5,32.1,3.4,8.2,5.2,0.172,0.014,0.001,0.122
502,Arizona State,Shannon,Evans II,33,33,35.7,21.2,112.4,115,0.555,0.503,30.6,51.3,1.5,9.2,4.7,0.229,0.02,0.007,0.122
503,Arizona State,Obinna,Oleka,33,32,32.9,20.7,105.3,108.9,0.524,0.466,44.5,29,9.6,24.5,15.3,0.065,0.017,0.027,0.138
504,Arizona State,Romaine,Jackson,4,0,1.3,19.7,-,123.4,-,-,-,-,21.2,0,10.1,0,0,0,1
505,Arizona State,Kodi,Justice,33,26,31.1,15,107.6,113.1,0.583,0.555,23.4,64.3,1.3,9.2,4.7,0.136,0.024,0.02,0.17
506,Arizona State,Andre,Adams,14,0,5.7,10.9,123.4,112.6,0.649,0.75,50,0,11.9,13.1,11.4,0.045,0.007,0.069,0.17
507,Arizona State,Jethro,Tshisumpa,26,5,7.4,9.7,86.8,107.3,0.417,0.423,34.6,0,8.8,13.9,10.3,0,0.012,0.142,0.211
508,Arizona State,Ramon,Vila,33,4,12.3,9.3,130.9,116.8,0.664,0.647,64.7,5.9,9.9,8,8.2,0.008,0.007,0.022,0.144
509,Arizona State,Austin,Witherill,17,0,1.5,9.2,59.6,120.1,0.205,0,50,100,0,8.9,3.9,0.057,0,0,0
510,Arizona State,Maurice,O'Field,11,0,4.3,8.4,-,117.6,0.571,0.571,0,14.3,6.8,7.4,6.5,0.145,0.012,0,0.125
511,Arizona State,Grant,Fogerty,2,0,1,0,-,123.4,-,-,-,-,0,0,0,0,0,0,-
512,Arizona State,Chris,Odionu,2,0,1,0,-,121.1,-,-,-,-,0,0,0,0,0,0,-
513,Stanford,Rodney,Herenton,5,0,1,69.7,28.6,114,0.205,0.25,50,25,0,0,0,0,0,0,0.291
514,Stanford,Reid,Travis,27,27,30.1,27.4,115.2,103.4,0.613,0.579,59.5,0.3,13.4,21.7,16,0.043,0.01,0.008,0.127
515,Stanford,Michael,Humphrey,30,25,24,23,99.7,99.8,0.508,0.468,28.2,10.9,10.9,20.1,14.2,0.084,0.022,0.031,0.147
516,Stanford,Marcus,Sheffield,31,5,18.9,21.4,94.9,104.3,0.492,0.426,35.2,39,0.2,9.7,4.5,0.161,0.026,0.004,0.153
517,Stanford,Dorian,Pickens,31,31,29.9,20.6,111.9,105.1,0.587,0.545,37.3,58.9,2.9,11.2,6.4,0.084,0.02,0.004,0.114
518,Stanford,Blake,Pagon,5,0,2,19.6,70.5,96.7,0.347,0,100,50,11.7,12.1,10.9,0,0.059,0,0.258
519,Stanford,Marcus,Allen,31,28,26.9,18.8,93.3,104.2,0.488,0.451,34.7,24.4,1.8,8.5,4.7,0.145,0.028,0.003,0.162
520,Stanford,Robert,Cartwright,31,12,24.7,18.2,94.4,105.6,0.457,0.421,20.1,49.8,0.8,8.1,4,0.275,0.023,0.002,0.174
521,Stanford,Josh,Sharma,31,0,13.4,17,83,98.8,0.429,0.419,27.6,21,7,18.6,11.7,0.018,0.011,0.1,0.157
522,Stanford,Trevor,Stanback,16,0,5.7,15.7,61,105.3,0.216,0.176,82.4,0,9,5.3,6.6,0.112,0.019,0.04,0.178
523,Stanford,Grant,Verhoeven,30,10,12.6,14.5,117.2,103.7,0.591,0.549,40.7,16,10.2,12.7,10.5,0.026,0.017,0.023,0.12
524,Stanford,Christian,Sanders,31,17,17.2,13.6,90.3,105.2,0.536,0.486,53.5,32.4,0.7,12.9,6.2,0.342,0.015,0.007,0.385
525,Stanford,Cameron,Walker,14,0,7.1,13.2,89.8,101.2,0.527,0.364,145.5,9.1,8.2,21.7,13.6,0.052,0.018,0.012,0.307
526,Stanford,Josh,Hanson,4,0,1.3,10.1,-,114,0,0,0,100,0,0,0,0,0,0,0
527,Stanford,Malcolm,Allen,11,0,3.6,8.9,-,101.8,0.667,0.667,0,16.7,0,15.1,6.8,0.048,0.029,0,0.143
528,Washington State,Conor,Clifford,31,30,19.7,24.9,102.5,112.8,0.622,0.589,22,0.5,3.7,12.3,7.6,0.101,0.001,0.034,0.184
529,Washington State,Robert,Franks,31,0,16.4,23.4,94.1,110.5,0.53,0.497,24.7,36.7,6.9,16.1,10.9,0.095,0.005,0.036,0.182
530,Washington State,Derrien,King,9,5,24.6,22.8,68.8,111.1,0.413,0.325,43.3,41.7,2.8,17.2,9.6,0.056,0.008,0.009,0.251
531,Washington State,Josh,Hawkinson,31,31,35.4,20.9,120.2,106.4,0.628,0.574,38.7,21.2,6.4,26.4,15.7,0.148,0.01,0.023,0.122
532,Washington State,Ike,Iroegbu,31,31,34.3,20.9,105.1,113,0.55,0.507,44.1,29.6,3,10.8,6.6,0.204,0.012,0.004,0.155
533,Washington State,Charles,Callison,31,26,27.3,19.8,101.4,110.7,0.566,0.54,15.2,39.6,0.7,6.3,3.4,0.156,0.027,0.013,0.155
534,Washington State,KJ,Langston,21,0,7.5,18.2,66.4,113.5,0.337,0.34,2.1,55.3,1.6,6.4,3.8,0.068,0.018,0,0.129
535,Washington State,Steven,Shpreyregin,9,0,3.2,18.2,-,115.2,0.25,0.25,0,80,0,11.6,5.7,0.06,0,0,0
536,Washington State,Malachi,Flynn,31,31,33.1,18,95.2,113.9,0.531,0.506,18.6,57,1,9,4.8,0.163,0.012,0.001,0.186
537,Washington State,Jeff,Pollard,24,1,8.5,13.2,98.2,109,0.511,0.472,44.4,0,6.7,16.9,11.2,0.035,0.017,0.01,0.157
538,Washington State,Viont'e,Daniels,27,0,17.1,9.9,107.7,114.4,0.525,0.521,17.1,67.1,2.2,5.8,3.8,0.13,0.014,0.004,0.127
539,Washington,Greg,Bowman,11,0,1.6,33.1,112.5,102.1,0.515,0.556,66.7,0,30.1,37.7,30.9,0.131,0.031,0,0.079
540,Washington,Markelle,Fultz,25,25,35.7,31.3,114.2,110.5,0.564,0.535,38.3,28.7,4,14,8.1,0.355,0.025,0.031,0.135
541,Washington,David,Crisp,31,31,32.9,21.9,104.6,117.7,0.537,0.516,19.1,57.2,2.7,8.1,4.9,0.172,0.009,0.004,0.16
542,Washington,Noah,Dickerson,31,27,27.2,21,117.7,111.2,0.59,0.549,53.2,3.4,10.7,22.9,15.2,0.054,0.01,0.016,0.12
543,Washington,Quin,Barnard,10,0,1.4,20.2,-,123.3,0.6,0.6,0,100,7.7,0,3.6,0.256,0,0,0.167
544,Washington,Carlos,Johnson,31,4,17.9,20.1,93,116.5,0.458,0.426,30.9,18.3,8.8,9.6,8.4,0.066,0.009,0.012,0.161
545,Washington,Matisse,Thybulle,31,31,29.8,17.5,105.9,109.7,0.578,0.55,16.9,50.2,2.9,8.7,5.3,0.103,0.039,0.022,0.183
546,Washington,Dominic,Green,30,2,21.6,16.1,89.3,116.9,0.425,0.394,16.1,55.6,3.5,7.3,4.9,0.053,0.01,0.017,0.131
547,Washington,Matthew,Atewe,19,4,8.7,15.2,93.3,110,0.522,0.516,67.7,0,12.5,16.5,13.2,0.01,0.01,0.073,0.244
548,Washington,Sam,Timmins,31,18,14.6,14.2,86,110.1,0.495,0.5,17.4,7.6,9.6,19.7,13.3,0.033,0.014,0.041,0.272
549,Washington,Malik,Dime,20,13,21.5,13.6,108.6,107.6,0.54,0.506,51.8,0,11.1,17.2,12.9,0.062,0.012,0.107,0.178
550,Washington,Bitumba,Baruti,17,0,4.5,12.6,72.5,117.7,0.359,0.286,21.4,42.9,5.7,4.5,4.7,0.041,0.015,0,0.246
551,Washington,Dan,Kingma,19,0,6.2,11,75.7,116.4,0.407,0.412,35.3,76.5,0.9,8.6,4.3,0.116,0.014,0,0.289
552,Washington,Devenir,Duruisseau,19,0,3.7,10,-,111.6,0.4,0.4,0,0,4.6,22.3,12.1,0.044,0.008,0.013,0.333
553,Oregon State,Tres,Tinkle,6,6,34.8,31.6,104.8,98.9,0.568,0.469,71.6,30.9,2.3,25.7,13.1,0.172,0.038,0.027,0.151
554,Oregon State,Stephen,"Thompson, Jr.",26,26,36.2,27.7,96.3,109.6,0.502,0.473,30,44.8,3.8,10,6.4,0.208,0.024,0.005,0.147
555,Oregon State,Keondre,Dew,6,0,11.7,25.3,50.5,103.1,0.277,0.263,31.6,0,10.3,21.7,14.8,0.117,0.026,0.016,0.357
556,Oregon State,Drew,Eubanks,32,32,32.1,24,106.2,103.9,0.624,0.587,44.8,0,9.5,21,14.1,0.099,0.012,0.076,0.205
557,Oregon State,Cheikh,N'diaye,9,8,10.8,21,89.2,108.8,0.557,0.522,56.5,0,9.9,14.4,11.3,0.024,0,0.082,0.258
558,Oregon State,Jaquori,McLaughlin,32,30,33.8,19.2,97.6,112.6,0.516,0.481,23.7,53.6,0.7,6.9,3.5,0.21,0.015,0.009,0.175
559,Oregon State,Ben,Kone,23,0,13.4,18.7,70.9,108.3,0.386,0.34,32,28,6.2,17.4,11,0.033,0.012,0.011,0.219
560,Oregon State,Kendal,Manuel,32,25,28.8,17.2,91.2,111.5,0.508,0.489,14.8,59,1.7,8.1,4.6,0.12,0.019,0.002,0.189
561,Oregon State,Gligorije,Rakocevic,32,14,18.7,16.1,90.2,110.6,0.507,0.487,47.9,16,9.4,14,10.9,0.021,0.007,0.017,0.213
562,Oregon State,Ronnie,Stacy,31,8,13,15.6,70.3,108.9,0.434,0.397,38.2,14.7,2.4,11.9,6.7,0.14,0.023,0.003,0.335
563,Oregon State,Matt,Dahlen,30,10,10.4,10.9,90.3,108.1,0.516,0.5,70.6,2.9,6.9,14.9,10.1,0.113,0.015,0.015,0.31
564,Oregon State,Daine,Muller,21,1,9.9,9.9,119.4,113.1,0.706,0.696,14.3,100,0.6,9.6,4.7,0.175,0.009,0,0.232
565,Oregon State,Tanner,Sanders,29,0,8.6,9.1,59.2,108,0.243,0.25,6.3,68.8,2.9,11.8,6.8,0.091,0.024,0.018,0.233
566,Villanova,Josh,Hart,36,35,33.2,27.6,123.3,94.1,0.626,0.59,36.7,39.5,5.9,17.5,11.1,0.188,0.029,0.01,0.117
567,Villanova,Kris,Jenkins,36,34,31.1,22.9,112,97,0.558,0.5,31.4,64.6,1.6,14.2,7.7,0.12,0.022,0.011,0.11
568,Villanova,Jalen,Brunson,36,36,31.1,22.8,126.8,101.2,0.663,0.604,40.5,32.8,2.1,7.9,4.8,0.261,0.018,0,0.157
569,Villanova,Phil,Booth,3,3,24,20.1,80.9,103.8,0.409,0.342,21.1,52.6,1.9,6.5,4,0.139,0.009,0,0.224
570,Villanova,Donte,DiVincenzo,36,1,25.5,19,112.7,97.4,0.588,0.556,35.5,49.1,5.5,12.7,8.6,0.12,0.022,0.013,0.161
571,Villanova,Eric,Paschall,36,8,21.7,18.3,110.5,98,0.588,0.562,30.3,34.9,8.6,12.8,10,0.052,0.015,0.027,0.163
572,Villanova,Mikal,Bridges,36,33,29.8,15.3,128.8,93.1,0.681,0.644,24,48.1,5.3,13.4,8.8,0.12,0.035,0.035,0.151
573,Villanova,Dylan,Painter,23,0,5.5,10.3,99.6,98,0.519,0.429,85.7,21.4,7.6,22.1,14.1,0,0.005,0,0.206
574,Villanova,Darryl,Reynolds,31,30,23.8,9.8,122.9,96,0.703,0.688,53.8,0,11.8,16.6,13.1,0.041,0.013,0.047,0.261
575,Villanova,Tim,Delaney,7,0,3.7,8.3,-,104.3,0.75,0.75,0,100,0,9,4.4,0,0,0,0.5
576,Villanova,Denny,Grace,7,0,1.3,6,-,97,-,-,-,-,0,25.9,12.8,0,0,0,1
577,Villanova,Tom,Leibig,7,0,1.6,2.2,-,82.9,0,-,-,-,0,31.8,15.7,0,0.056,0,0
578,Villanova,Matt,Kennedy,7,0,1.9,0,-,108.6,-,-,-,-,10.6,0,4.4,0,0,0,-
579,Butler,Kelan,Martin,34,21,28.7,30.3,106.8,101.7,0.557,0.504,36.3,43.7,4.5,20.7,11.8,0.086,0.014,0.017,0.119
580,Butler,Trey,Pettus,7,0,3.4,28.7,83.2,109,0.414,0.4,20,40,0,10.4,4.9,0.253,0,0,0.155
581,Butler,Joey,Brunk,7,0,7,23.2,107,102.3,0.602,0.538,92.3,15.4,0,17.8,8.4,0.039,0.012,0.024,0.141
582,Butler,Kethan,Savage,30,11,20.4,21.8,107.4,101,0.554,0.483,54.6,27.6,1.1,15.3,7.7,0.14,0.027,0.012,0.136
583,Butler,Steven,Bennett,7,0,4.1,21.1,60.6,108.3,0.265,0.278,11.1,66.7,0,12.9,6.1,0.175,0,0,0.175
584,Butler,Kamar,Baldwin,34,24,26.9,20.4,106.2,97.8,0.577,0.557,16.1,33.7,2.1,15.1,8.1,0.107,0.039,0.024,0.146
585,Butler,Andrew,Chrabascz,34,34,32.7,19.3,115.5,105.5,0.563,0.498,48.6,24.3,6.1,11.5,8.2,0.176,0.013,0.01,0.142
586,Butler,Nate,Fowler,34,1,11.9,18.5,136.8,106.2,0.748,0.717,47.5,21.2,12.2,9.8,10.2,0.069,0.01,0.012,0.149
587,Butler,Avery,Woodson,34,21,22.4,18.2,122.2,105.9,0.603,0.59,10.9,74.8,1.4,12.9,6.7,0.057,0.008,0.014,0.042
588,Butler,Henry,Baddley,24,0,4.9,16,89.3,98.3,0.449,0.44,36,32,5.5,14.9,9.5,0.075,0.036,0.02,0.172
589,Butler,Tyler,Wideman,34,33,23,15.7,120.2,101.5,0.639,0.615,51.9,1.3,11.6,16,12.8,0.036,0.016,0.04,0.165
590,Butler,Tyler,Lewis,34,24,21.9,14.7,132.7,106.5,0.648,0.599,58.4,40.9,1.6,6.7,3.9,0.326,0.018,0.002,0.161
591,Butler,Sean,McDermott,30,1,10.7,11.5,112.5,104.8,0.579,0.557,28.3,79.2,4.8,12,7.9,0.047,0.011,0.022,0.144
592,Creighton,Marcus,Foster,35,35,30.9,30,103.1,104.6,0.551,0.529,20.1,40.2,1,9.1,4.9,0.143,0.011,0.002,0.119
593,Creighton,Maurice,"Watson, Jr.",19,19,29.9,24.8,108.5,101.4,0.573,0.547,27.2,16.8,1.3,8.1,4.5,0.476,0.027,0,0.249
594,Creighton,Martin,Krampelj,29,0,5.9,23.9,113.4,97.4,0.557,0.542,49.2,13.6,19.6,22.4,19.6,0.06,0.003,0.061,0.133
595,Creighton,Zach,Hanson,20,1,10.2,23.7,114.2,100.5,0.622,0.64,36,0,9.4,15.2,11.5,0.046,0.016,0.005,0.112
596,Creighton,Justin,Patton,35,34,25.3,22,119.2,95.6,0.678,0.689,29.4,5.1,8,19.2,12.9,0.085,0.019,0.059,0.152
597,Creighton,Kobe,Paras,15,0,4.7,20.5,82.2,99.3,0.399,0.409,31.8,45.5,6.9,16.8,11.2,0.065,0.016,0.015,0.138
598,Creighton,Khyri,Thomas,35,35,31.2,19.3,115.5,98.4,0.604,0.576,23.8,36.2,5.8,14.5,9.7,0.172,0.026,0.014,0.164
599,Creighton,Jordan,Scurry,11,0,2.8,19.1,-,101.1,0.667,0.667,0,83.3,0,13.8,6.8,0.224,0.018,0,0
600,Creighton,Ronnie,Harrell,26,0,7.3,17.8,119.5,98.6,0.565,0.521,59.6,25.5,10.1,18.5,13.5,0.154,0.018,0.016,0.132
601,Creighton,Davion,Mintz,29,12,12.2,17.6,93.6,101,0.513,0.442,42.3,32.1,0.3,9.3,4.7,0.214,0.023,0.012,0.269
602,Creighton,Cole,Huff,35,35,23,17,120.7,102,0.626,0.591,24.3,58.3,2.8,15.6,8.9,0.043,0.01,0.005,0.08
603,Creighton,Toby,Hegner,35,0,16.7,13.2,121.7,100.2,0.614,0.597,33.9,58.1,5.3,16.8,10.6,0.041,0.012,0.016,0.089
604,Creighton,Tyler,Clement,30,0,8.8,11.8,92.6,102,0.591,0.586,20,54.3,0.5,10.9,5.6,0.204,0.017,0.004,0.396
605,Creighton,Isaiah,Zierden,35,4,20,10.7,120.4,103.9,0.664,0.603,35.7,88.4,0.7,9.9,5.2,0.059,0.012,0.003,0.145
606,Seton Hall,Khadeen,Carrington,33,32,33.3,26.4,109.4,104,0.542,0.494,37.4,37,1.9,8.6,4.8,0.183,0.02,0.01,0.126
607,Seton Hall,Desi,Rodriguez,33,33,31.9,26.1,105,103,0.524,0.497,30.4,32.3,4.4,13.9,8.4,0.117,0.015,0.014,0.122
608,Seton Hall,Angel,Delgado,33,33,33,24.5,109,99.2,0.56,0.543,54,0,16.6,27.7,20.4,0.142,0.011,0.011,0.181
609,Seton Hall,Myles,Powell,33,2,23.8,22.3,111.7,103.7,0.539,0.505,19.9,68.1,2.6,8,4.9,0.073,0.022,0.008,0.089
610,Seton Hall,Eron,Gordon,18,0,4.1,21.3,92.3,100.8,0.428,0.404,7.7,42.3,7.5,15.6,10.6,0.159,0.024,0,0.157
611,Seton Hall,Dalton,Soffer,11,0,2.7,21.1,-,105,0.25,0.25,0,100,0,7.6,3.4,0,0.02,0,0.077
612,Seton Hall,Myles,Carter,5,0,6.6,15.4,50.1,101.7,0.269,0.286,14.3,0,6.6,17.3,10.9,0,0.018,0,0.287
613,Seton Hall,Jevon,Thomas,10,0,9.3,14.7,41.1,92.4,0.234,0.227,81.8,27.3,1.2,11,5.5,0.136,0.069,0,0.465
614,Seton Hall,Madison,Jones,33,31,29.5,13,95.1,101.2,0.496,0.452,35.7,26.8,1.7,7.9,4.3,0.184,0.035,0.004,0.251
615,Seton Hall,Veer,Singh,9,0,9.3,12.9,67.1,105.3,0.349,0.267,33.3,80,2.6,16.3,8.6,0.019,0,0.013,0.225
616,Seton Hall,Michael,Nzei,33,14,18,11.2,118.1,102.8,0.662,0.659,72,0,11.3,12.5,11,0.021,0.012,0.032,0.212
617,Seton Hall,Ismael,Sanogo,28,19,22.3,9.5,91.7,97.9,0.468,0.445,52.1,4.1,8.2,19.9,12.9,0.056,0.023,0.031,0.263
618,Seton Hall,Rashed,Anthony,29,0,4.4,4.3,93.4,106.7,0.478,0.333,50,0,7.7,8,7.2,0,0.005,0.008,0.353
619,Seton Hall,Manny,Anderson,4,0,1.3,0,-,112.2,-,-,-,-,0,0,0,0,0,0,-
620,Seton Hall,Michael,"Dowdy, Jr.",6,1,1.5,0,-,107.9,-,-,-,-,0,12.7,5.7,0,0,0,-
621,Providence,Casey,Woodring,4,0,1.8,45.1,-,103.8,0.25,0.25,0,83.3,17,16.8,15.5,0,0,0,0
622,Providence,Rodney,Bullock,33,33,32.8,27.1,100.8,96.9,0.545,0.493,39.2,35.7,5,18,10.6,0.098,0.021,0.027,0.145
623,Providence,Ricky,Council II,5,0,4,23.7,-,103.2,0.25,0.25,0,100,0,17.6,8.2,0,0,0,0.333
624,Providence,Emmitt,Holt,32,28,27.5,22.9,112.6,98.6,0.593,0.56,42.5,21.4,7.4,15.6,10.6,0.083,0.015,0.031,0.117
