,Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
306,Georgia,Connor,O'Neill,5,0,1.2,25.4,-,87.4,0,0,0,0,0,53,25.8,0,0,0,0.667
307,Georgia,Brandon,Young,8,1,1.1,22.5,-,107.2,0,0,0,25,0,11.8,5.7,0,0,0,0
308,Georgia,Juwan,Parker,32,31,26.8,21.9,94.4,101.6,0.469,0.397,32.5,18.4,4.9,16.8,10.3,0.137,0.013,0.002,0.146
309,Georgia,Jordan,Harris,30,12,16.5,18.3,88,103.7,0.577,0.538,34.9,46.2,1.7,7.5,4.4,0.176,0.019,0.013,0.314
310,Georgia,Derek,Ogbeide,34,33,23.2,16.1,109.1,96.3,0.58,0.567,37.1,0,11.8,24.3,17,0.055,0.009,0.053,0.172
311,Georgia,Pape,Diatta,33,1,10.8,15.3,91.6,102.4,0.526,0.464,44.9,39.1,3,15.7,9,0.095,0.008,0.012,0.232
312,Georgia,William,Jackson II,34,16,17.5,14.6,93.4,105.7,0.477,0.452,17.8,56.3,1.4,5.9,3.5,0.118,0.014,0.013,0.152
313,Georgia,Mike,Edwards,34,2,18.1,13.8,98.2,102.5,0.561,0.524,58.1,1,7.4,14.8,10.4,0.022,0.009,0.012,0.214
314,Georgia,E'Torrion,Wilridge,29,8,16.2,7.9,98.2,103.4,0.541,0.552,35.4,56.3,1.3,9.5,5.2,0.128,0.014,0.027,0.245
315,Georgia,Kenny,Geno,28,2,9,7.6,128.8,103.4,0.57,0.547,28.1,59.4,2.8,12.6,7.4,0.107,0.009,0.013,0.053
316,Georgia,Houston,Kessler,29,1,6.3,6.4,77.8,102.7,0.322,0.278,27.8,27.8,5.2,13.3,8.8,0,0.013,0,0.129
317,Texas A&M,Mark,French,2,0,1.5,49.9,-,113.6,0,0,0,50,0,0,0,0,0,0,0.333
318,Texas A&M,Tyler,Davis,21,21,25,27.1,114.2,101,0.649,0.626,59.3,0.5,15.4,17.3,14.9,0.129,0.011,0.046,0.193
319,Texas A&M,DJ,Hogg,19,18,29.9,25.3,97.1,102.2,0.506,0.5,17.9,48.2,5.5,13.5,8.7,0.209,0.018,0.034,0.184
320,Texas A&M,Robert,Williams,21,8,22.8,23.6,111.2,95.7,0.588,0.573,36.6,4.9,13,20.3,15.3,0.121,0.014,0.113,0.159
321,Texas A&M,Admon,Gilder,21,20,32.8,21.2,110.1,101.4,0.571,0.531,32.5,43.5,3.5,9.4,6,0.235,0.036,0.011,0.182
322,Texas A&M,Tonny,Trocha-Morelos,21,17,25.1,18.2,105.9,102.2,0.485,0.45,27.2,39.1,8.1,14.1,10.2,0.131,0.017,0.031,0.124
323,Texas A&M,Tavario,Miller,21,1,11.9,17.3,101.3,104.1,0.503,0.492,55.9,0,12,16,12.8,0.044,0.007,0.013,0.15
324,Texas A&M,Kobie,Eubanks,11,0,5.7,16.9,45.1,112.2,0.173,0.188,18.8,81.3,5.5,3.4,4,0.052,0,0.017,0.188
325,Texas A&M,Eric,Vila,16,0,11.6,16.1,79.8,100.2,0.36,0.31,35.7,45.2,1.9,15.7,8.2,0.144,0.029,0,0.185
326,Texas A&M,JC,Hampton,21,12,22.3,13.7,117.9,108,0.626,0.575,34.4,67.7,0.7,7.6,3.9,0.144,0.013,0,0.17
327,Texas A&M,Caleb,Smith,12,0,8.2,13.3,105.3,104.5,0.496,0.476,23.8,33.3,1.2,12.1,6.2,0.125,0.018,0,0.115
328,Texas A&M,Chris,Collins,18,8,16,10.3,85.2,108.3,0.472,0.459,13.5,75.7,0.8,7.5,3.9,0.175,0.01,0.004,0.338
329,Texas A&M,Chase,Carlton,7,0,7.6,6.1,69.8,107.5,0.291,0.333,33.3,33.3,0,8.1,3.8,0.176,0.011,0,0.466
330,Texas A&M,Frank,Byers,2,0,1,0,-,87.7,-,-,-,-,0,53.9,25.4,0,0,0,-
331,Texas A&M,Kyle,Nugent,2,0,1,0,-,115.1,-,-,-,-,0,0,0,0,0,0,-
332,Tennessee,Brad,Woodson,4,0,2.8,34.5,105.9,96.9,0.444,0.357,28.6,57.1,0,0,0,0.205,0.052,0.096,0
333,Tennessee,Lucas,Campbell,3,0,1.7,25.4,-,113.5,0.758,-,-,-,0,0,0,0,0,0,0
334,Tennessee,Detrick,Mostella,15,1,21.5,25.2,101.5,102.5,0.536,0.504,28.2,53.4,2.6,17.3,9,0.121,0.011,0.02,0.13
335,Tennessee,Grant,Williams,32,29,25.4,24.1,111.9,99.5,0.582,0.527,72.1,12.2,12.2,12.8,11.5,0.096,0.018,0.079,0.152
336,Tennessee,Jordan,Bone,23,17,19.6,22.8,95.3,106.5,0.458,0.415,23.8,28,1.4,8,4.3,0.3,0.015,0,0.15
337,Tennessee,Lamonte,Turner,32,6,20.7,22.4,100.3,104,0.518,0.451,42.5,58.4,1.6,11.7,6,0.254,0.016,0.01,0.178
338,Tennessee,Robert,Hubbs III,32,32,31.6,21.9,107.2,105.2,0.529,0.473,30.5,7.1,4.2,11.6,7.2,0.115,0.013,0.007,0.102
339,Tennessee,Admiral,Schofield,28,1,19,21.1,108.1,101.9,0.57,0.515,39.5,31.4,5.2,20.1,11.5,0.082,0.01,0.01,0.137
340,Tennessee,Jordan,Bowden,30,28,22.8,17.8,109.9,103.5,0.518,0.458,31.2,55,3.7,10.1,6.3,0.114,0.022,0.008,0.087
341,Tennessee,Shembari,Phillips,31,13,20.9,16.9,99.2,103.7,0.522,0.444,49.7,31.8,3.4,12.5,7.2,0.15,0.017,0.007,0.193
342,Tennessee,John,Fulkerson,10,6,16,14.1,117.3,92.1,0.606,0.567,66.7,0,9.2,21.9,14.2,0.121,0.039,0.059,0.171
343,Tennessee,Lew,Evans,32,3,14.8,13.9,101.5,103.9,0.497,0.42,62.1,50.6,7.8,12.9,9.5,0.112,0.012,0.016,0.19
344,Tennessee,Kwe,Parker,25,1,8.1,13.7,60.2,104.4,0.348,0.371,25.8,41.9,2.1,9.2,5.1,0.189,0.017,0.016,0.4
345,Tennessee,Kyle,Alexander,32,23,14,13.2,107.1,99.9,0.489,0.472,50,6.8,13.5,17.6,14.3,0.025,0.008,0.078,0.123
346,Auburn,Will,Macoy,4,0,1.8,39.8,-,94.7,0.667,0.667,0,83.3,0,15.3,6.9,0,0.078,0,0
347,Auburn,Patrick,Keim,5,0,1.6,28.3,103.1,101,0.515,0.5,66.7,66.7,0,40.2,18.2,0.461,0,0,0.205
348,Auburn,Mustapha,Heron,32,32,28.2,25.8,108.1,106.8,0.574,0.506,51.7,30.2,6.1,17,10.5,0.096,0.016,0.007,0.154
349,Auburn,Ronnie,Johnson,32,2,16.4,24.2,108.6,109.7,0.529,0.493,28.6,31.4,3.2,8.4,5.3,0.289,0.023,0,0.135
350,Auburn,Austin,Wiley,23,22,18,24.2,102.5,106.7,0.577,0.584,91.2,0,13.3,14.5,12.7,0.025,0.007,0.08,0.19
351,Auburn,Jared,Harper,32,30,24.2,23,111.2,109.3,0.546,0.485,54.1,58.1,1.4,7.2,3.9,0.23,0.026,0.003,0.128
352,Auburn,T.J.,Dunans,31,11,24.3,22.6,83.4,106.1,0.432,0.415,19.6,26.6,2.1,13.2,7,0.191,0.022,0.031,0.197
353,Auburn,Danjel,Purifoy,29,25,28.7,18.4,114.6,106,0.586,0.518,37.3,65.6,3.6,13.9,8,0.111,0.027,0.006,0.137
354,Auburn,Bryce,Brown,28,13,21.1,17.8,104.7,108.7,0.523,0.508,14.3,74.1,2.1,7.8,4.5,0.107,0.026,0.011,0.115
355,Auburn,Horace,Spencer,19,12,16.3,15,104.6,101.7,0.562,0.561,54.5,1.5,7.9,14.5,10.2,0.059,0.025,0.097,0.18
356,Auburn,Anfernee,McLemore,32,1,15.1,14.9,122.2,102.4,0.688,0.688,57.4,1,11.9,19.8,14.4,0.02,0.015,0.082,0.181
357,Auburn,LaRon,Smith,24,3,12,11.9,103.7,106.5,0.545,0.533,64.4,0,10.7,10.5,9.7,0.036,0.013,0.086,0.217
358,Auburn,TJ,Lang,29,9,16.4,11.8,115.9,112,0.599,0.568,44.3,86.4,3.6,7.9,5.2,0.05,0.011,0.004,0.132
359,Auburn,Trey,Tate,2,0,2,11.6,-,117.6,0,0,0,100,0,0,0,0,0,0,0
360,Auburn,Devin,Waddell,11,0,6.8,6.4,83.9,115.2,0.478,0.5,50,66.7,1.4,7.2,3.9,0.062,0,0,0.291
361,Auburn,Cole,Blackstock,3,0,1.3,0,-,92.9,-,-,-,-,0,53.7,24.3,0,0,0,-
362,Auburn,Mike,Cohen,2,0,2,0,-,118.7,-,-,-,-,0,0,0,0.375,0,0,-
363,Mississippi State,Drew,Davis,6,0,2,41.6,-,102.3,0.688,0.688,0,50,9.4,0,4.3,0.546,0.048,0,0.2
364,Mississippi State,Joe,Strugg,6,0,2.5,26.6,-,103,0.375,0.375,0,75,0,21.9,10.3,0,0,0,0.5
365,Mississippi State,Quinndary,Weatherspoon,29,29,31.9,26,108.6,99.9,0.572,0.533,30.1,34.1,4.9,12.7,8.2,0.127,0.031,0.009,0.133
366,Mississippi State,Lamar,Peters,30,17,24.6,24.8,101.8,102.7,0.537,0.498,28.2,60.5,1.8,8.3,4.7,0.274,0.026,0.007,0.185
367,Mississippi State,Xavian,Stapleton,23,5,16.7,21.9,105.3,98.5,0.553,0.527,34.1,41.9,7,11.9,8.8,0.037,0.033,0.027,0.124
368,Mississippi State,Aric,Holman,32,26,23.3,19.8,101.1,95.9,0.553,0.524,35.7,23.3,8.6,19.9,13.3,0.054,0.016,0.09,0.182
369,Mississippi State,Mario,Kegler,32,31,28.2,19.4,98.4,101.8,0.533,0.5,34.9,46,4.6,16.7,10,0.079,0.014,0.009,0.171
370,Mississippi State,Tyson,Carter,32,12,20.2,18.5,108.5,104.1,0.53,0.502,15.6,57.8,0.9,8.5,4.4,0.067,0.02,0.007,0.058
371,Mississippi State,I.J.,Ready,28,20,28.6,16.7,103.9,101.6,0.513,0.449,30.9,23.4,1.1,9.3,4.9,0.294,0.032,0.001,0.202
372,Mississippi State,Schnider,Herard,32,19,18.6,16.4,95.7,103.1,0.553,0.549,101,0,11,18.6,13.7,0.022,0.003,0.014,0.246
373,Mississippi State,Nick,Singleton,7,0,3.9,14.8,-,100.6,0.357,0.357,0,57.1,4.2,12.1,7.6,0.131,0.021,0.039,0.125
374,Mississippi State,Eli,Wright,30,1,13.1,12.4,114.8,104.4,0.643,0.61,45.6,39.7,4,9.2,6.2,0.033,0.016,0.008,0.164
375,Mississippi State,Miles,Washington,6,0,2.2,11.5,-,107.5,0.333,0.333,0,33.3,0,0,0,0,0,0.081,0
376,Mississippi State,E.J.,Datcher,31,0,7.4,9.8,84.6,97.2,0.431,0.406,28.1,0,6.4,16.3,10.6,0.008,0.015,0.083,0.2
377,LSU,Antonio,Blakeney,31,30,32.9,25.3,108,116.9,0.555,0.52,30,34.9,3.4,12.8,7.4,0.107,0.011,0.003,0.118
378,LSU,Craig,Victor II,8,5,25.3,24.5,97.7,108.8,0.456,0.405,38,2.5,12.3,21,15.3,0.075,0.027,0.026,0.115
379,LSU,Duop,Reath,31,30,27.7,22.5,101,112.6,0.543,0.528,25.3,11.4,8.2,16.6,11.4,0.058,0.01,0.057,0.16
380,LSU,Skylar,Mays,31,25,22.9,20.6,101.6,114,0.535,0.463,42.1,31.7,2.4,8.3,4.9,0.278,0.031,0.003,0.224
381,LSU,Elbert,Robinson III,22,1,6.4,20.6,84.5,113,0.564,0.607,103.6,0,10,14.3,11.2,0.076,0.012,0.045,0.329
382,LSU,Brandon,Sampson,31,26,27.5,20.1,107.3,116.8,0.6,0.551,39.2,45.1,2.3,10.2,5.7,0.09,0.012,0.017,0.174
383,LSU,Aaron,Epps,30,19,17.2,18.8,103.3,115.2,0.568,0.542,29.9,22.2,11.6,16.9,13.1,0.046,0.005,0.023,0.201
384,LSU,Jalyn,Patterson,31,10,22.3,16.4,94.3,112.4,0.484,0.465,18.7,58.5,2.2,12.9,6.9,0.227,0.031,0.005,0.226
385,LSU,Wayde,Sims,31,5,19,16.4,109.5,112.7,0.582,0.549,28.1,22.2,7.2,14.8,10.1,0.052,0.021,0.025,0.157
386,LSU,Branden,Jenkins,18,2,8.4,16.2,64,117.4,0.268,0.25,27.5,32.5,1.4,5.9,3.3,0.114,0.018,0.007,0.135
387,LSU,Brian,Bridgewater,23,1,4.5,13.9,101.2,116.3,0.54,0.476,33.3,0,7.4,11.9,8.9,0.049,0.011,0.01,0.199
388,LSU,Marshall,Graves,15,0,3.2,13.2,49.7,117.9,0.194,0.111,33.3,66.7,2.3,9.3,5.3,0.094,0.012,0,0.225
389,LSU,Reed,Vial,7,0,1,12.7,-,118.6,0.568,-,-,-,0,15.9,7.2,0,0,0,0.532
390,LSU,Kieran,Hayward,26,0,8.2,11.3,85.2,117,0.339,0.322,11.1,68.9,4.6,10.4,6.9,0.058,0.01,0.015,0.078
391,LSU,Brandon,Eddlestone,12,1,8.3,9,123.1,118.8,0.571,0.571,28.6,28.6,16.4,12.4,13.3,0.016,0,0.011,0.16
392,Missouri,Trevor,Glassman,6,1,2.2,30.4,-,83.7,0,0,0,83.3,7.8,25.6,14.8,0.133,0.089,0,0.25
