Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS
Louisville,2,Quentin Snider,28,31.3,4.1,10.8,0.385,2.1,5.4,0.397,2,5.4,0.373,2.1,2.9,0.72,2.7,4.1,0.6,0,1.5,1.5,12.4
Louisville,3,Deng Adel,33,30.1,4.3,10.1,0.423,2.9,6.3,0.469,1.3,3.8,0.349,2.2,2.9,0.771,4.5,2.1,0.6,0.4,1.4,1.8,12.1
Louisville,4,Jaylen Johnson,34,20.5,3.1,5.3,0.589,3,5.1,0.59,0.1,0.2,0.571,1.6,2.6,0.625,5.8,0.5,0.5,0.5,1.3,2.4,8
Louisville,5,Mangok Mathiang,33,20.8,3.2,5.9,0.531,3.2,5.9,0.531,0,0,,1.5,2.3,0.671,6,0.7,0.5,1.1,1.2,2.5,7.8
Louisville,6,Raymond Spalding,34,19.2,2.3,3.9,0.59,2.3,3.9,0.603,0,0.1,0,1.2,2.3,0.545,5.5,0.8,0.6,0.9,1.3,2.6,5.9
Louisville,7,Anas Mahmoud,31,18.7,2.5,3.9,0.623,2.5,3.9,0.623,0,0,,0.8,1.7,0.462,4,0.8,0.9,2.1,1.1,2.6,5.7
Louisville,8,V.J. King,33,13.5,1.8,4.2,0.432,1.3,3.1,0.436,0.5,1.2,0.421,1.4,1.7,0.821,2.1,0.5,0.2,0.1,0.7,0.8,5.5
Louisville,9,Tony Hicks,23,10,1.4,3.5,0.395,1.2,2.7,0.443,0.2,0.9,0.25,0.7,1.2,0.63,1,0.8,0.4,0,0.9,0.7,3.7
Louisville,10,Ryan McMahon,28,6.3,0.7,2.1,0.333,0,0.3,0.125,0.7,1.9,0.365,0.4,0.5,0.857,0.5,0.6,0.2,0.1,0.4,1.1,2.5
Louisville,11,David Levitch,32,9.3,0.6,1.7,0.37,0.2,0.6,0.35,0.4,1.1,0.382,0.2,0.4,0.462,1.2,0.9,0.3,0,0.2,1,1.8
Louisville,12,Matz Stockman,18,4.1,0.6,0.9,0.647,0.6,0.9,0.647,0,0,,0.5,0.8,0.6,1.2,0.2,0.1,0.2,0.4,0.9,1.7
Louisville,13,Jay Henderson,17,2.1,0.3,0.9,0.313,0.2,0.5,0.5,0.1,0.5,0.125,0.2,0.2,1,0.2,0.2,0.2,0,0.1,0.4,0.9
Louisville,14,Tyler Sharpe,7,1.6,0.1,1.1,0.125,0.1,0.3,0.5,0,0.9,0,0,0,,0.4,0.1,0,0,0.1,0.1,0.3
Notre Dame,1,Bonzie Colson,36,32.1,6.6,12.5,0.526,5.8,10.8,0.54,0.7,1.7,0.433,3.9,5,0.783,10.1,1.6,1.1,1.4,1.2,2.3,17.8
Notre Dame,2,V.J. Beachem,36,34.2,5.2,12.3,0.422,2.8,5.6,0.495,2.4,6.7,0.361,1.7,2,0.836,4.1,0.9,0.9,1.1,1.1,1.3,14.5
Notre Dame,3,Matt Farrell,36,34.4,4.8,10.7,0.448,2.5,5.3,0.476,2.3,5.4,0.42,2.3,2.8,0.794,2,5.4,1.4,0.1,2.5,2,14.1
Notre Dame,4,Steve Vasturia,36,34.6,4.5,10.4,0.433,2.9,5.9,0.491,1.6,4.5,0.358,2.5,2.8,0.91,3.9,3.3,1.2,0.1,1.6,2.1,13.1
Notre Dame,5,Temple Gibbs,36,15,1.4,3.8,0.375,0.9,2.3,0.41,0.5,1.5,0.321,1.4,1.6,0.831,1.5,1.7,0.7,0.1,0.8,1.4,4.7
Notre Dame,6,Rex Pflueger,35,21.5,1.7,3.8,0.444,0.9,1.9,0.492,0.8,1.9,0.397,0.5,0.8,0.655,2.7,1.5,0.9,0.3,0.7,1.7,4.7
Notre Dame,7,Matt Ryan,36,7.9,1.2,2.8,0.434,0.2,0.4,0.438,1,2.3,0.434,0.3,0.3,0.9,0.9,0.4,0.2,0,0.4,0.8,3.6
Notre Dame,8,Martinas Geben,34,12.4,1.2,1.9,0.646,1.2,1.9,0.646,0,0,,0.7,0.9,0.767,3.4,0.7,0.4,0.3,0.6,1.9,3.1
Notre Dame,9,Austin Torres,36,7.3,0.6,1.1,0.553,0.6,1.1,0.553,0,0,,0.2,0.5,0.333,1.4,0.2,0.3,0.2,0.3,1.3,1.3
Notre Dame,10,John Mooney,12,3.8,0.4,0.7,0.625,0.3,0.3,0.75,0.2,0.3,0.5,0.2,0.2,1,1.6,0.2,0.1,0.1,0.1,0.4,1.2
Notre Dame,11,Elijah Burns,11,4,0.1,0.4,0.25,0.1,0.3,0.333,0,0.1,0,0.6,0.7,0.875,0.8,0.1,0.2,0.1,0.2,0.5,0.8
Notre Dame,12,Patrick Mazza,4,1,0.3,0.5,0.5,0.3,0.5,0.5,0,0,,0,0,,0.3,0,0,0.3,0.3,0,0.5
Notre Dame,13,Matt Gregory,5,1.2,0,0.8,0,0,0,,0,0.8,0,0,0,,0,0,0,0,0,0,0
Duke,1,Luke Kennard,37,35.5,6.4,13.1,0.49,4,7.6,0.527,2.4,5.4,0.438,4.3,5.1,0.856,5.1,2.5,0.8,0.4,1.6,2.2,19.5
Duke,2,Jayson Tatum,29,33.3,5.7,12.6,0.452,4.3,8.6,0.504,1.4,4,0.342,4.1,4.8,0.849,7.3,2.1,1.3,1.1,2.6,3,16.8
Duke,3,Grayson Allen,34,29.6,4.1,10.5,0.396,1.8,3.9,0.448,2.4,6.5,0.365,3.8,4.7,0.811,3.7,3.5,0.8,0.1,2.2,2.3,14.5
Duke,4,Frank Jackson,36,24.9,3.7,7.8,0.473,2.3,4.2,0.543,1.4,3.6,0.392,2.1,2.8,0.755,2.5,1.7,0.6,0.1,1.4,2.4,10.9
Duke,5,Amile Jefferson,35,29.7,4.2,6.8,0.613,4.2,6.8,0.613,0,0,,2.6,4.1,0.629,8.4,1.5,0.7,1.9,1.4,2.7,10.9
Duke,6,Matt Jones,37,32.9,2.6,6.5,0.397,1.2,2.5,0.484,1.4,3.9,0.342,0.5,0.7,0.731,2.8,1.9,1.7,0.2,1.1,2.3,7
Duke,7,Harry Giles,26,11.5,1.7,3,0.577,1.7,3,0.577,0,0,,0.5,0.9,0.5,3.8,0.3,0.3,0.7,0.7,2.2,3.9
Duke,8,Chase Jeter,16,14.9,0.8,1.6,0.5,0.8,1.6,0.5,0,0,,0.9,1.7,0.556,2.7,0.4,0.4,1.1,1.1,1.9,2.6
Duke,9,Antonio Vrankovic,13,7.8,1,1.5,0.684,1,1.5,0.684,0,0,,0.5,0.8,0.636,2.6,0.4,0,0.3,0.5,1.2,2.5
Duke,10,Jack White,10,6.1,0.6,0.9,0.667,0.5,0.7,0.714,0.1,0.2,0.5,0.8,1,0.8,1.3,0.1,0.1,0.2,0.4,0.5,2.1
Duke,11,Javin DeLaurier,12,7.2,0.8,0.9,0.818,0.8,0.8,0.9,0,0.1,0,0.1,0.3,0.25,1.9,0.1,0.3,0.3,0.7,1.8,1.6
Duke,12,Marques Bolden,24,6.5,0.7,1.5,0.457,0.7,1.5,0.457,0,0,,0.2,0.3,0.625,1.1,0.1,0.1,0.3,0.5,1.3,1.5
Duke,13,Justin Robinson,6,1.7,0,0,,0,0,,0,0,,0.2,0.3,0.5,0.2,0,0,0,0,0,0.2
Duke,14,Brennan Besser,1,2,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,0,1,0
Duke,15,Nick Pagliuca,5,1.6,0,0.4,0,0,0,,0,0.4,0,0,0,,0,0.4,0,0,0,0,0
Virginia,1,London Perrantes,34,32.1,4.3,10.4,0.414,2.4,5.3,0.453,1.9,5.1,0.374,2.2,2.7,0.813,3,3.8,0.7,0.1,1.7,1,12.7
Virginia,2,Austin Nichols,1,16,4,7,0.571,4,6,0.667,0,1,0,3,3,1,3,0,0,0,0,3,11
Virginia,3,Marial Shayok,34,20.6,3.6,8,0.445,3,6.3,0.477,0.6,1.7,0.328,1.3,1.6,0.796,2.4,1,0.9,0.3,1.1,1.4,8.9
Virginia,4,Devon Hall,34,27.4,2.9,7.2,0.408,2,4.7,0.428,0.9,2.5,0.372,1.5,2,0.776,4.4,1.9,0.5,0.1,1,1.9,8.4
Virginia,5,Kyle Guy,34,18.6,2.6,6,0.439,1.1,3,0.382,1.5,3,0.495,0.7,1,0.714,1.7,1.3,0.4,0,0.6,1.1,7.5
Virginia,6,Isaiah Wilkins,33,26.5,2.7,4.9,0.556,2.6,4.7,0.555,0.1,0.2,0.571,1.2,1.7,0.702,6,1.1,1,1.3,1,1.8,6.8
Virginia,7,Darius Thompson,33,20.8,2.3,5.2,0.444,1.5,2.9,0.515,0.8,2.2,0.351,0.8,1.3,0.605,1.6,2.2,0.8,0.4,1,1,6.2
Virginia,8,Ty Jerome,34,13.9,1.5,3.2,0.473,0.7,1.1,0.622,0.9,2.1,0.397,0.4,0.5,0.778,1.6,1.5,0.4,0.1,0.9,1.7,4.3
Virginia,9,Mamadi Diakite,32,14,1.6,2.9,0.543,1.5,2.5,0.58,0.1,0.3,0.273,0.6,1,0.545,2.6,0.2,0.3,1.2,0.4,2.3,3.8
Virginia,10,Jarred Reuter,32,10.8,1.6,2.8,0.584,1.6,2.8,0.584,0,0,,0.6,0.8,0.76,2.2,0.6,0.2,0.1,0.8,1.4,3.8
Virginia,11,Jack Salt,34,18.4,1.5,2.7,0.559,1.5,2.7,0.559,0,0,,0.6,1.3,0.489,4,0.4,0.3,0.6,0.6,2.6,3.7
Virginia,12,Justice Bartley,10,2.7,0.4,0.9,0.444,0.3,0.4,0.75,0.1,0.5,0.2,0,0.2,0,0.7,0.1,0,0.1,0.5,0.5,0.9
Virginia,13,Jeff Jones,5,3.6,0.2,0.6,0.333,0,0.2,0,0.2,0.4,0.5,0,0,,0.6,0,0,0,0.4,0.6,0.6
Virginia,14,Trevon Gross Jr.,11,2.4,0.1,1.1,0.083,0,0.4,0,0.1,0.7,0.125,0,0.1,0,0.5,0.2,0.2,0,0.4,0.4,0.3
Virginia Tech,1,Zach LeDay,32,29.5,5.6,10.3,0.541,5.2,9,0.578,0.3,1.3,0.275,5.1,6.6,0.768,7.3,1.2,0.6,1,1.9,2.8,16.5
Virginia Tech,2,Seth LeDay,1,25,5,11,0.455,5,11,0.455,0,0,,4,4,1,7,2,0,0,1,2,14
Virginia Tech,3,Seth Allen,32,28.9,4.6,8.5,0.54,3,4.8,0.613,1.6,3.7,0.444,2.2,3,0.729,2.3,3.3,0.8,0.2,2.8,1.9,13
Virginia Tech,4,Ahmed Hill,33,29.7,3.8,8.4,0.448,1.9,3.6,0.542,1.8,4.8,0.377,2.1,2.9,0.737,3.2,1.2,0.2,0.2,1.1,2.2,11.5
Virginia Tech,5,Chris Clarke,24,28.9,4,6.9,0.588,3.9,6.3,0.618,0.1,0.5,0.231,3.2,4.8,0.675,7.3,3.3,1.3,0.3,2,2,11.4
Virginia Tech,6,Justin Robinson,33,31.5,3,7.3,0.411,1.8,4,0.459,1.2,3.3,0.352,3.1,4.1,0.769,3,4.8,0.7,0.2,2.5,2.5,10.3
Virginia Tech,7,Justin Bibbs,33,31.3,3.2,7.9,0.408,1.2,3.2,0.381,2,4.8,0.427,0.9,1.2,0.756,2.8,1.6,0.4,0.1,1.1,2.2,9.5
Virginia Tech,8,Ty Outlaw,33,17.7,2.1,4.4,0.483,0.4,0.9,0.448,1.7,3.5,0.491,0.3,0.4,0.769,2.8,0.3,0.3,0.3,0.5,1.9,6.3
Virginia Tech,9,Khadim Sy,32,11.4,1.7,3,0.567,1.7,3,0.563,0,0,1,0.5,0.8,0.593,2.7,0.2,0.1,0.6,0.8,1.4,4
Virginia Tech,10,Johnny Hamilton,3,7,1.3,1.3,1,1.3,1.3,1,0,0,,1,2,0.5,1.3,0,0.7,0.3,0,1,3.7
Virginia Tech,11,Matt Galloway,14,2.8,0.1,0.6,0.111,0,0,,0.1,0.6,0.111,0,0,,0.1,0.1,0.1,0,0,0.6,0.2
Virginia Tech,12,Greg Donlon,1,1,0,1,0,0,1,0,0,0,,0,0,,0,0,0,0,0,0,0
Miami (FL),1,Davon Reed,33,35.3,4.9,11.3,0.433,2.5,5.2,0.474,2.4,6,0.397,2.7,3.3,0.833,4.8,2.4,1.3,0.5,2,1.6,14.9
Miami (FL),2,Ja'Quan Newton,30,31.4,5,11.1,0.452,4.6,9.7,0.476,0.4,1.3,0.275,3.1,4.4,0.699,3.5,3.4,1.1,0,3.3,1.6,13.5
Miami (FL),3,Bruce Brown,33,31.9,4.1,8.8,0.459,3.1,6,0.513,1,2.9,0.347,2.7,3.7,0.744,5.6,3.2,1.5,0.5,2,2.5,11.8
Miami (FL),4,Kamari Murphy,33,29.4,2.9,5.7,0.505,2.9,5.7,0.508,0,0,0,1.3,2.1,0.609,7.3,0.5,0.4,0.7,1.5,2.4,7
Miami (FL),5,Anthony Lawrence Jr.,33,25.9,2.2,5.2,0.416,1.1,2.2,0.5,1.1,3,0.354,1.4,1.9,0.726,3.8,1.7,1.3,0.5,1.4,2.4,6.8
Miami (FL),6,Dejan Vasiljevic,33,17.4,2,5.5,0.357,0.4,1.1,0.389,1.5,4.4,0.349,0.5,0.6,0.8,1.3,0.5,0.3,0,0.4,0.9,6
Miami (FL),7,Dewan Huell,32,17.4,2.4,4.5,0.531,2.4,4.5,0.538,0,0.1,0,1,1.6,0.647,3.1,0.2,0.4,0.8,0.9,1.9,5.8
Miami (FL),8,Ebuka Izundu,32,13,1.7,3.1,0.545,1.7,3.1,0.545,0,0,,0.9,1.3,0.69,3,0.2,0.2,0.8,0.8,2.3,4.3
Miami (FL),9,Rodney Miller,14,4.1,0.4,0.8,0.455,0.4,0.8,0.455,0,0,,0.3,0.6,0.444,0.6,0,0,0.1,0.1,0.4,1
Miami (FL),10,Mike Robinson,9,2.2,0,0.6,0,0,0.1,0,0,0.4,0,0.1,0.2,0.5,0.1,0,0.1,0,0.1,0.2,0.1
Miami (FL),11,Josh Heath,6,2,0,0.2,0,0,0,,0,0.2,0,0,0,,0.3,0,0,0,0,0,0
Syracuse,1,Andrew White III,34,37.2,5.9,13.3,0.439,2.6,5.1,0.503,3.3,8.2,0.4,3.5,4.1,0.837,4.6,1.1,1.6,0.4,1.6,2.1,18.5
Syracuse,2,Tyler Lydon,34,36.1,4.4,9.4,0.472,3,5.7,0.523,1.4,3.7,0.392,2.9,3.4,0.836,8.6,2.1,1,1.4,1.7,2.5,13.2
Syracuse,3,Tyus Battle,34,30.7,3.7,8.6,0.433,2,3.8,0.519,1.8,4.8,0.366,2.1,2.6,0.798,2.1,1.7,1.3,0.2,1.1,1.9,11.3
Syracuse,4,John Gillon,34,29.9,3.1,7.6,0.409,1.5,3.7,0.402,1.6,3.8,0.415,2.7,3.1,0.869,1.8,5.4,1.4,0,2.1,1.5,10.5
Syracuse,5,Taurean Thompson,34,17.9,3.8,7,0.549,3.7,6.5,0.575,0.1,0.5,0.188,1.4,2.2,0.645,3.8,0.6,0.7,0.9,1.3,2.5,9.2
Syracuse,6,DaJuan Coleman,17,15.6,2.2,4.1,0.543,2.2,4.1,0.551,0,0.1,0,1.2,2.1,0.571,4.8,0.2,0.4,0.5,1.4,2.2,5.6
Syracuse,7,Tyler Roberson,34,20.4,2.3,4,0.566,2.3,4,0.566,0,0,,0.7,1.6,0.446,4.9,0.9,0.5,0.8,1.1,2.1,5.3
Syracuse,8,Franklin Howard,33,16.2,1.5,4.2,0.353,0.9,2.5,0.378,0.5,1.7,0.316,1,1.6,0.623,1.6,3.6,1.2,0.2,1.7,1.7,4.5
Syracuse,9,Paschal Chukwu,7,15.4,0.9,1.3,0.667,0.9,1.3,0.667,0,0,,0,1.3,0,4.1,0.3,0.4,2,1.4,2.1,1.7
Syracuse,10,Ray Featherston,3,1.3,0.3,0.3,1,0,0,,0.3,0.3,1,0,0,,0,0,0,0,0,0,1
Syracuse,11,Doyin Akintobi-Adeyeye,12,1.6,0.4,0.9,0.455,0.4,0.9,0.455,0,0,,0,0.1,0,0.5,0,0.1,0.2,0.3,0.4,0.8
Syracuse,12,Adrian Autry,12,1.4,0.3,0.8,0.333,0.1,0.2,0.5,0.2,0.6,0.286,0,0.1,0,0.3,0,0.2,0,0,0.1,0.7
Syracuse,13,Ky Feldman,9,1.6,0.2,0.7,0.333,0.1,0.1,1,0.1,0.6,0.2,0,0,,0.2,0.2,0,0,0,0,0.6
Syracuse,14,Shaun Belbey,12,1.5,0.1,0.4,0.2,0.1,0.3,0.333,0,0.2,0,0,0,,0,0.2,0,0,0.2,0,0.2
Syracuse,15,Evan Dourdas,3,1,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0.3,0,0
Syracuse,16,Jonathan Radner,4,1.5,0,0.5,0,0,0.3,0,0,0.3,0,0,0,,0.5,0.5,0,0,0.3,0,0
Syracuse,17,Mike Sutton,7,1.7,0,0.3,0,0,0,,0,0.3,0,0,0.1,0,0.6,0.3,0,0,0.1,0,0
Wake Forest,1,John Collins,33,26.6,7.1,11.4,0.622,7.1,11.4,0.624,0,0,0,5,6.7,0.745,9.8,0.5,0.6,1.6,1.8,3,19.2
Wake Forest,2,Bryant Crawford,33,31.8,5.1,11.7,0.438,3.5,7,0.5,1.6,4.7,0.346,4.3,5.2,0.826,3.8,5.5,1.5,0.3,2.3,2.8,16.2
Wake Forest,3,Keyshawn Woods,33,30.5,4.6,9.2,0.495,3.1,5.8,0.528,1.5,3.4,0.438,1.9,2.5,0.756,4.2,3.5,0.5,0,1.7,2.6,12.5
Wake Forest,4,Konstantinos Mitoglou,33,24.6,2.8,6.7,0.421,1.9,4.1,0.478,0.9,2.6,0.333,2.4,3,0.8,6.1,0.9,0.6,0.7,1.5,2.3,8.9
Wake Forest,5,Austin Arians,33,22.8,2.8,6.1,0.468,1,1.8,0.569,1.8,4.3,0.427,1,1.1,0.892,1.9,1.1,0.5,0.1,0.6,2,8.5
Wake Forest,6,Mitchell Wilbekin,32,24.8,2,5.5,0.356,0.5,1.9,0.262,1.5,3.6,0.405,1.6,1.8,0.893,1.5,1.5,0.8,0.1,0.7,1.8,7
Wake Forest,7,Brandon Childress,33,21.5,1.9,5.4,0.356,1.1,3,0.36,0.8,2.3,0.351,2,2.5,0.774,2.2,2.2,0.8,0,1.4,1.6,6.6
Wake Forest,8,Doral Moore,31,8.3,1,2,0.525,1,2,0.525,0,0,,0.5,1,0.533,2.2,0,0.1,0.9,0.8,2,2.6
Wake Forest,9,Greg McClinton,26,7.1,0.5,1,0.519,0.5,1,0.5,0,0,1,0,0.2,0.2,1.3,0,0.2,0,0.4,1.3,1.2
Wake Forest,10,Donovan Mitchell,4,1.8,0.3,0.3,1,0.3,0.3,1,0,0,,0.3,0.5,0.5,0.3,0,0,0,0.5,0,0.8
Wake Forest,11,Sam Japhet-Mathias,17,4.1,0.3,0.6,0.5,0.3,0.6,0.5,0,0,,0.1,0.1,1,0.9,0.1,0,0.2,0.4,1.3,0.7
Wake Forest,12,Aaron Spivey,2,1,0,0,,0,0,,0,0,,0.5,1,0.5,0.5,0,0,0,0,0,0.5
Wake Forest,13,Troy Rike,5,1.2,0.2,0.2,1,0.2,0.2,1,0,0,,0,0.2,0,0.6,0,0,0,0.2,0.4,0.4
Wake Forest,14,Trent VanHorn,20,2.7,0.1,0.3,0.4,0.1,0.3,0.4,0,0,,0.1,0.1,1,0.3,0.3,0,0,0.2,0.5,0.3
Wake Forest,15,Rich Washington,8,2.1,0.1,0.8,0.167,0.1,0.3,0.5,0,0.5,0,0,0,,0.3,0.4,0,0,0.1,0.4,0.3
Wake Forest,16,Anthony Bilas,2,1,0,0.5,0,0,0.5,0,0,0,,0,0,,0,0,0,0,0,0.5,0
Georgia Tech,1,Josh Okogie,37,30.8,5.2,11.6,0.453,4.5,9.6,0.468,0.8,2,0.384,4.9,6.5,0.747,5.4,1.6,1.3,0.7,2.1,2.5,16.1
Georgia Tech,2,Ben Lammers,37,35.4,5.8,11.2,0.516,5.8,11.2,0.516,0,0.1,0.5,2.6,3.6,0.737,9.2,2.1,1.2,3.4,1.7,2.3,14.2
Georgia Tech,3,Tadric Jackson,36,23.8,4.7,10.5,0.446,3.6,7.1,0.504,1.1,3.4,0.325,1.6,2.9,0.567,2.2,1.8,0.7,0.2,1.7,1.9,12.1
Georgia Tech,4,Quinton Stephens,37,33.3,3.5,9.4,0.375,1.9,4.2,0.446,1.6,5.1,0.316,1.7,2.5,0.688,7.6,2.2,1.2,0.7,1.9,2.2,10.4
Georgia Tech,5,Josh Heath,33,30.7,2,5.1,0.396,1.7,3.8,0.444,0.3,1.3,0.256,0.9,1.3,0.705,2.6,4.4,1.2,0.2,2.5,2.1,5.3
Georgia Tech,6,Justin Moore,34,18.8,1.7,4,0.431,1.6,3.7,0.441,0.1,0.3,0.3,0.8,1.5,0.529,1.8,2.4,0.4,0.1,1.5,1.7,4.4
Georgia Tech,7,Christian Matthews,15,7.1,1,2.6,0.385,0.6,1.7,0.36,0.4,0.9,0.429,1,1.3,0.75,0.6,0.3,0.2,0.2,0.4,0.7,3.4
Georgia Tech,8,Corey Heyward,37,16.8,0.6,1.9,0.3,0.3,1,0.297,0.3,0.9,0.303,0.5,0.9,0.625,1.8,1,0.5,0.1,0.5,1.5,1.9
Georgia Tech,9,Sylvester Ogbonda,23,5.2,0.6,1.2,0.481,0.6,1.2,0.481,0,0,,0.4,0.7,0.625,1,0.2,0.1,0.3,0.4,1.2,1.6
Georgia Tech,10,Kellen McCormick,24,4.7,0.5,0.7,0.75,0,0,1,0.5,0.6,0.733,0,0,,0.3,0.1,0.1,0,0.2,0.3,1.5
Georgia Tech,11,Abdoulaye Gueye,20,10.1,0.6,1.4,0.393,0.6,1.3,0.44,0,0.2,0,0.1,0.3,0.167,2.5,0.5,0.2,0.6,1.2,1.7,1.2
Georgia Tech,12,Shaheed Medlock,3,2,0.3,1,0.333,0.3,1,0.333,0,0,,0,0,,0.3,0,0,0,0,1,0.7
Georgia Tech,13,Norman Harris,4,1.8,0.3,1,0.25,0.3,1,0.25,0,0,,0,0,,0.3,0,0,0,0.3,0.5,0.5
Georgia Tech,14,Jodan Price,15,2.9,0.1,0.9,0.143,0.1,0.3,0.25,0.1,0.7,0.1,0,0,,0.5,0.1,0.1,0.1,0,0,0.3
Georgia Tech,15,Rand Rowland,8,2,0.1,0.4,0.333,0.1,0.4,0.333,0,0,,0,0,,0.5,0.3,0,0,0.4,0.1,0.3
Clemson,1,Jaron Blossomgame,33,34.3,6.6,13.3,0.498,5.9,10.5,0.564,0.7,2.8,0.255,3.6,5.1,0.713,6.3,1.5,0.8,0.9,1.7,1.6,17.6
Clemson,2,Shelton Mitchell,29,27,3.6,7.9,0.459,2.6,5.7,0.461,1,2.2,0.453,2.6,3.2,0.798,2.3,3.6,0.7,0.1,2,1.7,10.8
Clemson,3,Avry Holmes,33,26.8,3.1,7.5,0.415,1,2.8,0.37,2.1,4.7,0.442,2,2.5,0.815,2.4,1.3,1,0,0.8,1.2,10.3
Clemson,4,Marcquise Reed,33,21.5,3,7.2,0.419,2,4.7,0.432,1,2.5,0.395,2.9,3.2,0.906,2.3,1.9,1.4,0,1.2,1.7,9.9
Clemson,5,Elijah Thomas,24,16.9,3.3,5.6,0.578,3.3,5.6,0.582,0,0,0,1,2,0.479,4.2,0.3,0.7,1.2,0.8,3.5,7.5
Clemson,6,Donte Grantham,33,27.7,2.8,7.2,0.386,1.6,3.6,0.445,1.2,3.5,0.325,0.7,1,0.75,4.3,1.5,0.8,0.6,1.2,1.3,7.4
Clemson,7,Gabe DeVoe,33,24,2.6,6.9,0.382,1.3,2.8,0.457,1.3,4.1,0.328,0.5,0.9,0.6,2.8,1.9,1.1,0.2,1.4,1.5,7.2
Clemson,8,Sidy Djitte,32,23.5,2.3,4.3,0.529,2.2,4.2,0.53,0,0.1,0.5,2,2.9,0.681,7.7,0.7,0.7,0.8,1.5,3,6.5
Clemson,9,Scott Spencer,7,4.1,0.6,1.7,0.333,0.6,1.4,0.4,0,0.3,0,0,0,,0.4,0,0.1,0,0,0.3,1.1
Clemson,10,Legend Robertin,15,6.5,0.4,0.7,0.6,0.4,0.7,0.6,0,0,,0.1,0.8,0.167,0.9,0,0.1,0.9,0.2,1.1,0.9
Clemson,11,Isaac Fields,3,2,0.3,0.7,0.5,0.3,0.3,1,0,0.3,0,0,0,,0,0,0,0,0,0,0.7
Clemson,12,Ty Hudson,18,5.2,0.2,1.2,0.19,0.1,0.4,0.25,0.1,0.7,0.154,0,0,,0.2,0.3,0.1,0,0.4,0.4,0.6
Clemson,13,Lyles Davis,4,2,0.3,0.3,1,0.3,0.3,1,0,0,,0,0.5,0,1,0.5,0.5,0,0,0,0.5
Clemson,14,Riley McGillan,6,2.5,0.2,0.8,0.2,0.2,0.2,1,0,0.7,0,0,0,,0,0.2,0.2,0,0.2,0.2,0.3
Pittsburgh,1,Michael Young,33,33.2,6.6,14.5,0.454,5.3,10.8,0.492,1.3,3.7,0.344,5.2,6.7,0.778,6.8,2.7,0.6,0.8,2.1,1.8,19.6
Pittsburgh,2,Jamel Artis,32,34.3,6.1,12.9,0.475,3.8,7,0.545,2.3,5.9,0.392,3.6,4.9,0.734,4.9,3.3,0.4,0.3,2.6,1.9,18.2
Pittsburgh,3,Cameron Johnson,33,33.3,3.8,8.6,0.449,1.5,2.9,0.51,2.4,5.7,0.417,1.8,2.2,0.811,4.5,2.3,0.9,0.3,1.2,2.6,11.9
Pittsburgh,4,Sheldon Jeter,33,28.9,2.8,6.7,0.423,2,4.4,0.455,0.8,2.3,0.364,1.6,2.2,0.722,7.3,1.6,0.9,1,1.5,2.8,8.1
Pittsburgh,5,Chris Jones,32,32.1,2.4,5,0.472,2,3.8,0.529,0.4,1.3,0.3,2,3,0.684,3,2.2,0.6,0.3,1.7,2.3,7.2
Pittsburgh,6,Ryan Luther,21,19.3,2,3.7,0.538,1.6,2.7,0.589,0.4,1,0.409,1.3,1.7,0.75,3.9,0.7,0.2,0.7,1.6,2.3,5.7
Pittsburgh,7,Jonathan Milligan,27,8.4,0.7,2.3,0.286,0.1,0.5,0.154,0.6,1.9,0.32,0.3,0.3,0.875,0.3,0.6,0,0,0.5,0.7,2.2
Pittsburgh,8,Rozelle Nix,20,6.3,0.5,1.2,0.375,0.5,1.2,0.375,0,0,,0.5,0.7,0.692,2.6,0.1,0,0.2,0.4,1.7,1.4
Pittsburgh,9,Justice Kithcart,29,13.3,0.5,1.6,0.304,0.3,0.9,0.4,0.1,0.7,0.19,0.2,0.8,0.318,0.7,1.2,0.3,0.1,0.6,1.4,1.3
Pittsburgh,10,Ryan Seelye,2,2,0.5,0.5,1,0.5,0.5,1,0,0,,0,0,,0,0,0,0,0,0,1
Pittsburgh,11,Corey Manigault,18,4.4,0.3,1.1,0.25,0.3,0.9,0.294,0,0.2,0,0.3,0.4,0.625,0.8,0.1,0,0.1,0,0.7,0.8
Pittsburgh,12,Damon Wilson,29,6.3,0.3,1.1,0.258,0.3,0.7,0.421,0,0.4,0,0.2,0.4,0.583,0.5,0.3,0,0,0.4,0.7,0.8
Pittsburgh,13,Zach Smith,8,1.9,0,0.6,0,0,0,,0,0.6,0,0,0,,0.3,0,0,0,0.1,0.1,0
North Carolina State,1,Dennis Smith Jr.,32,34.8,6,13.1,0.455,4.3,8.3,0.509,1.7,4.8,0.359,4.5,6.3,0.715,4.6,6.2,1.9,0.4,3.4,2.1,18.1
North Carolina State,2,Terry Henderson,32,30.9,4.3,9.8,0.433,1.8,3.5,0.523,2.4,6.3,0.384,2.8,3.7,0.769,3.1,1.6,0.7,0.6,1.6,2.4,13.8
North Carolina State,3,Maverick Rowan,25,29.9,4.2,9.9,0.429,2.1,4,0.53,2.1,5.9,0.361,1.4,1.6,0.85,3.7,0.9,0.6,0.2,1.2,1.8,12
