Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
DePaul,"3 Wood, Darrick G",f,19,0,10.2,26.2,93.8,111.8,0.493,0.48,30.7,32,4.7,11.7,7.3,0.142,0.012,0.006,0.150
DePaul,"4 Curington, R.J. G",f,19,0,9.5,21.9,108.4,108,0.585,0.528,38.9,40.7,10.7,13.9,11.2,0.133,0.023,0.021,0.192
DePaul,"5 Gage, Devin G",f,31,0,11.2,20.1,94.1,107,0.538,0.5,30.5,22.1,2,6.9,3.9,0.165,0.037,0.025,0.218
DePaul,"6 Harrison-Docks, Chris G",f,26,0,19.5,18.5,97.3,114,0.519,0.493,10.5,75.7,1.3,3.5,2.1,0.084,0.017,0.000,0.145
DePaul,"7 McCallum, Tre'Darius F",f,32,32,31,18.1,99.9,103.6,0.511,0.482,19.6,27.9,5.6,21.2,11.9,0.091,0.029,0.032,0.146
DePaul,"8 Cyrus, Brandon G",f,32,32,26.3,15.9,91.5,109.9,0.458,0.405,35.3,20.5,7,12.1,8.6,0.067,0.020,0.010,0.173
DePaul,"9 Cook, Levi C",f,25,0,10.9,13.8,98.4,110.9,0.614,0.604,27.1,0,10.8,14.7,11.5,0.022,0.002,0.045,0.281
DePaul,"10 Gazi, Erten G",f,13,0,4.2,12.6,136.1,110.6,0.836,0.778,44.4,44.4,6.2,18.2,10.9,0.074,0.011,0.000,0.218
DePaul,"11 Eichelberger, Al F",f,26,0,8.2,10.7,106.6,111.7,0.641,0.762,152.4,0,8,10.6,8.5,0.009,0.006,0.047,0.222
DePaul,"12 Hanel, Joe F",f,32,32,25.7,9.6,110.2,111,0.638,0.649,53.2,0,9.2,13.3,10.2,0.055,0.010,0.019,0.256
DePaul,"13 Leitao III, David F",f,2,0,2.5,0,-,110.7,-,-,-,-,0,25.1,10.9,0.000,0.000,0.000,-
DePaul,"14 Grandstaff, Austin G",f,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DePaul,"14 Ryckbosch, Peter F",f,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
DePaul,"14 Strus, Max G",f,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Purdue,"1 Haas, Isaac C",f,35,15,19.5,31.4,109.6,96.6,0.635,0.587,63.8,0,11.5,18,13.9,0.064,0.008,0.038,0.183
Purdue,"2 Swanigan, Caleb F",f,35,35,32.5,28,115.2,92.3,0.629,0.572,49.9,20.2,10.7,32.7,20.9,0.189,0.008,0.025,0.187
Purdue,"3 Edwards, Carsen G",f,35,21,23.3,26.7,94.1,97.8,0.49,0.455,22.1,43,2.2,10.4,6.1,0.142,0.026,0.004,0.148
Purdue,"4 Luce, Tommy G",f,15,0,1.7,24.9,28.3,102.2,0.079,0,60,20,0,0,0,0.231,0.023,0.000,0.487
Purdue,"5 Edwards, Vincent F",f,35,27,28.6,21.5,120.4,99.5,0.598,0.558,27.1,33.7,8.4,11.7,9.4,0.210,0.012,0.019,0.138
Purdue,"6 Smotherman, Basil F",f,18,0,12.1,16.5,108.5,97.4,0.595,0.593,20.4,24.1,4.1,11.6,7.6,0.125,0.024,0.005,0.169
Purdue,"7 Mathias, Dakota G",f,35,35,31.8,14.5,121.3,99.3,0.634,0.614,15.5,63.3,1.3,12.3,6.7,0.204,0.016,0.004,0.162
Purdue,"8 McKeeman, Jon G",f,16,0,1.8,14.2,66.2,98.3,0.425,0.5,40,40,4.5,0,2,0.000,0.042,0.000,0.254
