Team,First_name,Last_name,GP,GS,MPG,USG_P,OFF_RTG,DEF_RTG,TS_P,EFG_P,FT_RATE,3FG_TEND,OFF_REB_P,DEF_REB_P,REB_P,AST_P,STL_P,BLK_P,TO_P
Iowa,"14 Ellingson, Brady G",f,34,0,14.2,13.1,124.8,110.4,0.622,0.586,16.2,61.3,1.6,7,4,0.130,0.013,0.000,0.105
Illinois,"1 Hill, Malcolm G",f,35,35,33.3,25.8,115.4,100.1,0.575,0.509,46.9,42.1,3.5,14.8,8.5,0.184,0.021,0.012,0.112
Illinois,"2 Black, Leron F",f,31,27,20.2,23,100.7,97.8,0.511,0.478,24.2,16.6,10.3,26.6,17.3,0.043,0.013,0.005,0.130
Illinois,"3 Thorne Jr., Mike C",f,23,10,13.8,21.8,96.6,101.8,0.543,0.547,36.8,0,10.4,18.6,13.6,0.053,0.002,0.028,0.191
Illinois,"4 Morgan, Maverick C",f,35,25,25.6,20.7,105,102.6,0.567,0.54,35.1,0,8,12.8,9.8,0.070,0.007,0.035,0.162
Illinois,"5 Austin, Alex G",f,10,0,2,20.4,-,102.1,0.25,0.25,0,50,23.6,23.7,22.1,0.000,0.000,0.000,0.000
Illinois,"6 Nichols, Kipper F",f,21,1,13.6,19.6,101.6,99.6,0.541,0.523,24.4,31.4,7.8,17,11.6,0.014,0.014,0.027,0.136
Illinois,"7 Abrams, Tracy G",f,35,30,24.2,18.9,108.8,100,0.557,0.531,24.2,52,1.1,13,6.6,0.185,0.025,0.008,0.140
Illinois,"8 Coleman-Lands, Jalen G",f,35,15,24.3,18.1,100.5,102.9,0.522,0.504,9.7,72.8,1,10.5,5.3,0.076,0.017,0.005,0.116
Illinois,"9 Finke, Michael F",f,32,8,19.8,17.3,113,102.5,0.593,0.59,18,52.3,9.1,16,11.7,0.065,0.009,0.009,0.139
Illinois,"10 Williams, D.J. G",f,17,0,8.8,17,89.7,104.7,0.462,0.45,12.5,25,3.1,8.7,5.5,0.101,0.004,0.037,0.159
Illinois,"11 Jones, Clayton G",f,9,0,1.2,15.9,126.4,110.9,0.581,0.5,33.3,66.7,0,0,0,0.000,0.000,0.000,0.000
Illinois,"12 Lucas, Te'Jon G",f,31,15,20.7,15.6,96.5,100.7,0.506,0.461,61.7,27.8,1.3,9.4,5,0.261,0.029,0.002,0.259
Illinois,"13 Oladimeji, Samson G",f,7,0,1.1,14.8,128.4,105.3,0.431,0,300,100,29.5,14.8,20.7,0.000,0.000,0.000,0.000
Illinois,"14 Tate, Jaylon G",f,26,7,15.7,11.8,98.6,103.8,0.497,0.404,74.5,23.4,2.3,7.5,4.6,0.301,0.017,0.005,0.339
Illinois,"15 Jordan, Aaron G",f,24,2,6.9,10.7,84.5,98.5,0.375,0.393,21.4,71.4,4.3,15.1,9,0.051,0.029,0.007,0.115
Ohio State,"1 Lane, Joey G",f,4,0,3,33.5,82.9,93.8,0.595,0.6,40,80,0,17.6,8.6,0.000,0.049,0.000,0.254
Ohio State,"2 Tate, Jae'Sean F",f,32,32,31.9,23.5,108,100.2,0.574,0.559,45,10.8,7.1,14.8,10.3,0.135,0.020,0.017,0.153
Ohio State,"3 Bates-Diop, Keita F",f,9,3,23.3,22.9,102.9,99.8,0.543,0.52,18.9,20.3,6.7,17.6,11.5,0.122,0.006,0.065,0.149
Ohio State,"4 Thompson, Trevor C",f,32,20,23,22.1,118.6,92.5,0.62,0.571,57.1,0,13.7,29.6,20.5,0.040,0.010,0.075,0.141
Ohio State,"5 Lyle, JaQuan G",f,31,23,29.3,21.7,107.7,103,0.566,0.521,40.5,30.7,1.3,10.2,5.6,0.306,0.021,0.003,0.194
Ohio State,"6 Loving, Marc F",f,32,32,33.9,20.5,99.5,104.1,0.565,0.515,40.7,51.5,3.6,11.4,7.1,0.104,0.010,0.018,0.204
Ohio State,"7 Jent, Jimmy G",f,4,0,2.5,20.4,-,93.6,0.375,0.375,0,50,0,42.2,20.6,0.000,0.000,0.000,0.000
Ohio State,"8 Jackson, C.J. G",f,32,9,19.1,17.8,104.8,101.3,0.523,0.483,37.4,55.1,2.5,11.4,6.7,0.274,0.026,0.000,0.197
Ohio State,"9 Williams, Kam G",f,32,29,30.7,17,100.6,106.2,0.513,0.482,13.4,48.2,1.1,6.2,3.5,0.059,0.014,0.005,0.104
Ohio State,"10 Potter, Micah C",f,30,12,14.1,16.3,106.1,101.3,0.542,0.52,35.4,51.5,9.8,14.2,11.2,0.035,0.011,0.030,0.149
Ohio State,"11 Bell, David C",f,15,0,6.1,13.5,105.9,94.3,0.474,0.444,38.9,0,12.9,22,16.4,0.040,0.013,0.088,0.125
Ohio State,"12 Wesson, Andre F",f,29,0,11.6,12.5,93.1,106,0.513,0.49,53.8,71.2,5.3,6.6,5.5,0.046,0.010,0.017,0.219
Indiana,"1 Blackmon Jr., James G",f,30,30,30.5,24.6,122.5,106.9,0.634,0.601,23.6,58.9,3.9,13.8,8.4,0.122,0.013,0.001,0.126
Indiana,"2 Taylor, Quentin G",f,6,0,1.7,24.4,-,97.6,1,1,0,0,12.2,11,10.7,0.000,0.058,0.000,0.800
Indiana,"3 Priller, Tim F",f,9,0,3,22.9,165.2,98.8,0.816,0.778,66.7,0,18.1,28.4,21.8,0.258,0.000,0.077,0.079
Indiana,"4 Johnson, Robert G",f,34,32,29.4,22.6,106.8,105.5,0.565,0.546,14.7,52.4,1.5,15,8,0.161,0.017,0.003,0.169
Indiana,"5 Davis, De'Ron F",f,34,4,13.9,22.5,111.8,103.1,0.569,0.485,66.2,0,13.8,12.3,12,0.120,0.017,0.053,0.189
Indiana,"6 Bryant, Thomas C",f,34,34,28.1,21.9,114.1,101.6,0.61,0.56,51.9,21.1,9.7,17.2,12.7,0.098,0.016,0.057,0.182
Indiana,"7 Anunoby, OG F",f,16,10,25.1,20.6,117.1,99.2,0.618,0.615,39.3,36.9,8.5,16.1,11.6,0.110,0.030,0.055,0.154
Indiana,"8 Jones, Curtis G",f,33,1,11.2,18.8,99.2,105.8,0.483,0.449,23.1,55.6,2.6,10.6,6.3,0.142,0.022,0.008,0.168
Indiana,"9 Newkirk, Josh G",f,34,32,28.1,18.6,103.5,108.5,0.534,0.506,24.2,35.4,2.9,9.4,5.9,0.198,0.012,0.008,0.209
Indiana,"10 McSwain, Jr., Freddie F",f,31,1,8.1,18.5,104.2,101.8,0.583,0.552,55.2,5.2,17.1,18.3,16.4,0.028,0.023,0.013,0.242
Indiana,"11 Gelon, Grant G",f,12,0,3.2,17.4,160.6,108.1,0.879,0.944,88.9,55.6,6.4,8.7,7,0.000,0.015,0.000,0.074
Indiana,"12 Green, Devonte G",f,32,3,15.2,16.2,100.9,104.6,0.587,0.557,32.1,51.9,2.3,10.8,6.3,0.118,0.026,0.013,0.249
Indiana,"13 Morgan, Juwan F",f,32,20,22.6,15.7,125,102.6,0.631,0.58,56.1,25.5,11,17.2,13.2,0.082,0.015,0.042,0.155
Indiana,"14 McRoberts, Zach G-F",f,31,3,11.3,5,115.7,105.7,0.43,0.407,7.4,44.4,4.5,10,6.9,0.125,0.020,0.018,0.223
Penn State,"1 Hazle, Grant G",f,5,0,0.4,49.5,-,112.5,0.5,0.5,0,0,0,0,0,0.000,0.000,0.000,0.000
Penn State,"2 Stevens, Lamar F",f,33,33,27.8,26.1,97.7,100.6,0.512,0.445,42.3,9.3,6.4,15.6,10.1,0.133,0.017,0.023,0.153
Penn State,"3 Carr, Tony G",f,33,33,32.8,24.2,97.3,103.4,0.492,0.421,42,27.5,2.2,14,7.4,0.265,0.012,0.009,0.163
Penn State,"4 Garner, Shep G",f,33,29,32.1,20.6,98.8,103.7,0.523,0.496,17.9,65.5,1.3,8.4,4.5,0.153,0.022,0.003,0.139
Penn State,"5 Banks, Payton F",f,32,13,26.7,20.3,102.4,106.4,0.521,0.485,20.4,68.7,1.5,7.7,4.2,0.074,0.009,0.010,0.086
Penn State,"6 Zhao, Alex F",f,4,0,1.3,19.8,-,112.5,0,0,0,50,21.7,0,10.1,0.000,0.000,0.000,0.000
Penn State,"7 Watkins, Mike F",f,33,24,23.8,19.1,115.1,91,0.613,0.59,45.2,0,11.3,26.2,17.2,0.056,0.018,0.117,0.142
Penn State,"8 Bostick, Nazeer G",f,18,0,6.7,17.4,64.5,98.6,0.369,0.31,17.2,31,1.8,10.2,5.5,0.093,0.033,0.034,0.261
Penn State,"9 Reaves, Josh G",f,28,23,27.1,16.7,97.2,96,0.532,0.5,26.5,32.6,5.3,11,7.5,0.153,0.045,0.028,0.211
Penn State,"10 Samuel, Terrence G",f,28,1,16.7,13.6,102.8,102,0.513,0.442,51.2,20.9,2.5,12.6,6.9,0.194,0.022,0.002,0.179
Penn State,"11 Zemgulis, Deividas F",f,18,0,6.2,12.4,58.3,105.2,0.335,0.325,10,65,2.9,9,5.5,0.016,0.010,0.009,0.251
Penn State,"12 Washington, Isaiah G",f,17,0,5,12.1,64.3,107.1,0.381,0.321,28.6,85.7,0,7.9,3.6,0.041,0.007,0.000,0.241
Penn State,"13 Moore, Julian F",f,32,9,14.9,11.9,93.8,101.5,0.506,0.461,35.5,0,8.7,13.3,10.1,0.043,0.010,0.052,0.235
Nebraska,"1 Laws, Malcolm G",f,5,0,2.2,32.5,32.2,99.8,0.137,0.167,50,16.7,0,10.4,4.6,0.000,0.053,0.000,0.000
Nebraska,"2 Webster, Tai G",f,31,31,34.7,27.6,102,104.9,0.521,0.467,37.7,31.3,3.2,13.3,7.4,0.251,0.023,0.004,0.165
Nebraska,"3 Tshimanga, Jordy C",f,31,9,12.5,25.3,89.9,100,0.496,0.449,50.4,0,14.4,20.3,15.9,0.043,0.021,0.041,0.229
Nebraska,"4 Morrow, Ed F",f,24,18,23.4,22.2,100.9,102.3,0.54,0.514,37.4,0,14.2,21,16.1,0.031,0.008,0.050,0.184
Nebraska,"5 Watson Jr., Glynn G",f,31,29,31.6,21.4,108.9,104.8,0.529,0.487,24.3,35.1,1.7,9,4.8,0.172,0.030,0.004,0.112
Nebraska,"6 Horne, Jeriah F",f,29,0,11.8,20.9,95.3,106.1,0.514,0.5,12.9,56.9,2.7,15.5,8.1,0.066,0.012,0.009,0.158
Nebraska,"7 Copeland, Isaac F",f,7,5,19.6,20.5,86.9,102.6,0.393,0.275,47.5,25,7.2,11.7,8.8,0.080,0.025,0.000,0.126
Nebraska,"8 Gill, Anton G",f,12,1,17.3,17.3,75.2,109.3,0.36,0.339,13.6,49.2,3.5,8.8,5.6,0.052,0.011,0.000,0.150
Nebraska,"9 McVeigh, Jack G-F",f,30,11,22.9,16.7,108.5,107.7,0.526,0.492,20.9,70.9,2.1,10.3,5.6,0.053,0.014,0.012,0.089
Nebraska,"10 Elradi, Mohammad G",f,2,0,1.5,16.3,-,100.9,1,1,0,0,0,38.2,16.8,1.126,0.000,0.000,0.000
Nebraska,"11 Jacobson, Michael F",f,31,31,24,15.6,102.5,102.8,0.442,0.402,31,12.5,12.5,15.9,13,0.083,0.018,0.038,0.118
Nebraska,"12 Roby, Isaiah F",f,30,4,15.2,14.9,85.6,102.2,0.455,0.415,22.3,21.3,8.2,13,9.7,0.088,0.020,0.057,0.259
Nebraska,"13 Taylor, Evan G",f,31,21,24.4,13.5,91.4,106,0.47,0.432,23.9,16.1,2.3,10.9,5.9,0.090,0.022,0.004,0.178
Nebraska,"14 Fuller, Nick F",f,15,0,5.7,7.5,149.2,105.5,0.704,0.667,77.8,0,6.1,16.2,10.1,0.084,0.014,0.000,0.076
Nebraska,"15 Borchardt, Tanner F",f,1,0,1,0,-,110.7,-,-,-,-,0,0,0,0.000,0.000,0.000,-
Nebraska,"15 Shultis, Jason G",f,2,0,1.5,0,-,86.2,-,-,-,-,34.7,76.4,50.4,0.000,0.000,0.000,-
Rutgers,"1 Sanders, Corey G",f,33,31,30.4,28,89.4,100.8,0.439,0.406,29,18.5,1.8,10,5.2,0.238,0.026,0.017,0.157
Rutgers,"2 Johnson, Nigel G",f,32,13,26.2,24.7,102.4,100.6,0.483,0.441,30.1,37,1.7,12.2,6.2,0.166,0.027,0.003,0.105
Rutgers,"3 Freeman, Deshawn F",f,33,31,27,22.6,103.5,95.9,0.53,0.493,48.2,5.6,10.9,20.3,14.1,0.071,0.022,0.038,0.157
Rutgers,"4 Williams, Mike G",f,33,12,26.2,19.4,109.6,101,0.504,0.469,24.1,48.6,8.4,12.4,9.4,0.091,0.021,0.013,0.100
Rutgers,"5 Gettys, C.J. C",f,33,33,22,18.6,106.3,100,0.57,0.544,32.3,0,9.4,16.4,11.6,0.116,0.011,0.041,0.189
Rutgers,"6 Omoruyi, Eugene F",f,33,11,12,16.5,81,100.2,0.402,0.349,38.6,13.3,8.4,11.5,9,0.160,0.023,0.026,0.265
Rutgers,"7 Sa, Candido G-F",f,32,2,13.5,16.1,87.3,99.6,0.43,0.411,48.4,20,10.3,12.1,10.2,0.040,0.013,0.076,0.184
Rutgers,"8 Batie, Khalil G",f,7,0,2,15.6,87.6,101.2,0.436,0.5,33.3,100,0,23.8,10.5,0.265,0.000,0.000,0.225
Rutgers,"9 Laurent, Jonathan F",f,31,11,13.3,14.8,85,99.3,0.498,0.45,35,18.8,4.3,15.6,8.9,0.055,0.022,0.014,0.257
Rutgers,"10 Thiam, Issa G-F",f,31,21,18.4,13.5,88.3,105.2,0.453,0.45,6.2,76.7,2,8.4,4.6,0.033,0.013,0.004,0.153
Rutgers,"11 Diallo, Ibrahima F-C",f,18,0,8.3,12.6,62.5,96.4,0.254,0.231,30.8,0,9,14,10.4,0.058,0.020,0.083,0.234
Rutgers,"12 Bullock, Matt F",f,2,0,2,12.3,-,111.2,0,0,0,100,0,0,0,0.000,0.000,0.000,0.000
Rutgers,"13 Smith, Aaren F",f,1,0,4,10.8,-,112.3,0,-,-,-,0,0,0,0.000,0.000,0.000,0.000
Rutgers,"14 Doorson, Shaquille C",f,31,0,8.8,9.2,97.2,102.8,0.505,0.563,46.9,0,10.6,9.8,9.3,0.054,0.007,0.058,0.237
Rutgers,"15 Dadika, Jake G",f,11,0,4.7,6.6,-,105.1,0.333,0.333,0,33.3,0,4.3,1.9,0.163,0.023,0.000,0.571
Rutgers,"16 Downes, Joey F",f,1,0,0,-,-,-,-,-,-,-,-,-,-,-,-,-,-
