Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Providence,2,Emmitt Holt,32,879,149,285,0.523,128,224,0.571,21,61,0.344,82,121,0.678,55,117,172,32,22,25,45,101,401
Providence,3,Kyron Cartwright,33,1091,132,314,0.42,101,234,0.432,31,80,0.388,80,112,0.714,17,100,117,222,36,1,96,67,375
Providence,4,Jalen Lindsey,32,1026,106,232,0.457,32,71,0.451,74,161,0.46,57,77,0.74,38,100,138,22,28,8,23,69,343
Providence,5,Alpha Diallo,33,705,59,145,0.407,50,108,0.463,9,37,0.243,62,84,0.738,32,73,105,39,29,5,41,78,189
Providence,6,Isaiah Jackson,33,552,64,133,0.481,45,86,0.523,19,47,0.404,38,51,0.745,12,68,80,41,18,9,36,47,185
Providence,7,Kalif Young,33,432,44,85,0.518,44,84,0.524,0,1,0,17,46,0.37,46,60,106,13,12,17,33,56,105
Providence,8,Ryan Fazekas,30,353,31,80,0.388,9,21,0.429,22,59,0.373,6,9,0.667,0,33,33,9,11,2,5,28,90
Providence,9,Maliek White,33,379,32,84,0.381,20,47,0.426,12,37,0.324,6,11,0.545,5,28,33,44,20,2,32,35,82
Providence,10,Drew Edwards,8,86,8,19,0.421,5,13,0.385,3,6,0.5,5,10,0.5,0,5,5,2,4,1,5,10,24
Providence,11,Ricky Council II,5,20,1,6,0.167,0,0,,1,6,0.167,0,0,,0,3,3,0,0,0,3,1,3
Providence,12,Casey Woodring,4,7,1,6,0.167,0,1,0,1,5,0.2,0,0,,1,1,2,0,0,0,0,0,3
Providence,13,Tom Planek,7,13,0,0,,0,0,,0,0,,0,3,0,3,3,6,0,0,1,2,1,0
Marquette,1,Markus Howard,31,22,4.4,8.7,0.506,1.7,3.8,0.454,2.6,4.8,0.547,1.8,2,0.889,2.2,2.3,0.8,0.1,2,2.5,13.2,,
Marquette,2,JaJuan Johnson,31,26,4.4,9.3,0.476,3.4,6.6,0.515,1,2.7,0.381,2.1,2.6,0.793,4.1,2.7,1.9,0.5,2.3,1.6,12,,
Marquette,3,Andrew Rowsey,32,20.8,3.3,7.2,0.461,1.1,2.2,0.493,2.2,5,0.447,2.8,3,0.926,1.8,2.3,0.7,0,1.3,2.1,11.6,,
Marquette,4,Luke Fischer,32,24,4.7,7.3,0.647,4.7,7.3,0.647,0,0,,1.6,2.7,0.588,5.9,1.2,0.6,1.7,1.2,3.4,10.9,,
Marquette,5,Katin Reinhardt,29,25.8,3.6,8.9,0.403,1.6,3.7,0.443,2,5.2,0.375,1.7,1.9,0.889,2.7,2.1,0.6,0.1,1.3,1.4,10.8,,
Marquette,6,Sam Hauser,32,26.5,3,6.4,0.473,1.1,2.1,0.515,2,4.3,0.453,0.8,0.9,0.828,5,1.3,0.8,0.6,0.7,2.5,8.8,,
Marquette,7,Haanif Cheatham,32,25.4,2.9,6.3,0.458,2.5,5.1,0.491,0.4,1.3,0.325,2.5,3.2,0.767,3.8,2.2,0.7,0.1,1.6,1.5,8.7,,
Marquette,8,Duane Wilson,30,16.4,1.8,4.3,0.422,1.3,2.7,0.5,0.5,1.6,0.292,0.7,1.1,0.688,1.8,1.6,1,0.1,0.8,2,4.8,,
Marquette,9,Traci Carter,8,16.3,1.6,2.9,0.565,1.3,2,0.625,0.4,0.9,0.429,0.6,1,0.625,2.1,3.6,0.5,0,1.4,1.9,4.3,,
Marquette,10,Matt Heldt,32,13.1,0.9,1.3,0.7,0.9,1.3,0.7,0,0,,0.6,1,0.563,2.9,0.2,0.2,0.4,0.3,2.1,2.3,,
Marquette,11,Cam Marotta,9,2.1,0.1,0.7,0.167,0,0.3,0,0.1,0.3,0.333,0.2,0.2,1,0.2,0.2,0,0,0.3,0.2,0.6,,
Marquette,12,Sandy Cohen,3,6.3,0,1.3,0,0,1.3,0,0,0,,0,0,,1,0.3,0,0.7,1.3,0.3,0,,
Marquette,13,Deon Franklin,8,2,0,0.3,0,0,0.1,0,0,0.1,0,0,0,,0.4,0,0.1,0.1,0.1,0.5,0,,
Xavier,1,Trevon Bluiett,36,1262,212,483,0.439,121,239,0.506,91,244,0.373,149,198,0.753,26,178,204,74,32,4,78,86,664
Xavier,2,J.P. Macura,38,1272,179,421,0.425,115,231,0.498,64,190,0.337,124,157,0.79,50,117,167,110,54,8,77,90,546
Xavier,3,Edmond Sumner,22,697,101,211,0.479,89,167,0.533,12,44,0.273,101,137,0.737,11,81,92,105,27,16,58,51,315
Xavier,4,Rashid Gaston,38,689,115,195,0.59,115,195,0.59,0,0,,51,92,0.554,93,131,224,23,6,18,41,87,281
Xavier,5,Malcolm Bernard,38,1065,84,201,0.418,38,84,0.452,46,117,0.393,35,60,0.583,47,107,154,58,37,12,56,104,249
Xavier,6,Sean O'Mara,38,523,88,146,0.603,88,146,0.603,0,0,,54,79,0.684,51,65,116,23,12,13,32,66,230
Xavier,7,Quentin Goodin,38,916,70,200,0.35,57,149,0.383,13,51,0.255,42,73,0.575,6,71,77,131,35,7,74,80,195
Xavier,8,Kaiser Gates,33,692,63,162,0.389,23,44,0.523,40,118,0.339,26,36,0.722,37,96,133,22,15,5,22,60,192
Xavier,9,Tyrique Jones,37,406,68,113,0.602,68,113,0.602,0,0,,20,41,0.488,58,56,114,11,9,16,27,74,156
Xavier,10,Leighton Schrand,9,8,0,1,0,0,1,0,0,0,,3,4,0.75,0,0,0,0,0,0,1,1,3
Xavier,11,Tim Stainbrook,13,37,1,5,0.2,0,0,,1,5,0.2,0,0,,0,3,3,2,0,1,0,4,3
Xavier,12,Myles Davis,4,34,0,8,0,0,2,0,0,6,0,2,4,0.5,0,2,2,0,1,0,2,5,2
