Team,Rk,Player,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Xavier,13,Cullen Barr,9,8,0,2,0,0,1,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0
Xavier,14,Alex Bergen,10,8,0,0,,0,0,,0,0,,0,0,,1,1,2,0,0,0,0,0,0
Xavier,15,Conor Peterson,9,8,0,0,,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0
St. John's,1,Shamorie Ponds,33,1109,191,435,0.439,116,235,0.494,75,200,0.375,116,141,0.823,38,108,146,102,68,8,62,58,573
St. John's,2,Marcus LoVett,30,948,166,358,0.464,116,227,0.511,50,131,0.382,94,117,0.803,18,70,88,113,40,1,79,61,476
St. John's,3,Bashir Ahmed,33,881,142,360,0.394,90,213,0.423,52,147,0.354,106,156,0.679,59,121,180,40,18,19,75,83,442
St. John's,4,Federico Mussini,30,576,77,188,0.41,21,57,0.368,56,131,0.427,35,41,0.854,6,46,52,26,17,0,29,37,245
St. John's,5,Malik Ellison,33,818,83,198,0.419,53,110,0.482,30,88,0.341,47,79,0.595,22,86,108,84,31,8,59,95,243
St. John's,6,Tariq Owens,32,601,65,129,0.504,65,127,0.512,0,2,0,36,48,0.75,59,105,164,15,19,69,29,103,166
St. John's,7,Kassoum Yakwe,33,675,51,120,0.425,51,120,0.425,0,0,,35,59,0.593,35,72,107,25,8,64,29,94,137
St. John's,8,Darien Williams,24,285,34,63,0.54,34,62,0.548,0,1,0,24,33,0.727,19,43,62,4,10,11,15,52,92
St. John's,9,Yankuba Sima,10,178,21,47,0.447,21,47,0.447,0,0,,18,25,0.72,13,22,35,6,4,5,10,24,60
St. John's,10,Amar Alibegovic,26,267,19,46,0.413,12,21,0.571,7,25,0.28,10,17,0.588,9,34,43,17,5,10,14,47,55
St. John's,11,Richard Freudenberg,26,242,12,48,0.25,5,13,0.385,7,35,0.2,3,4,0.75,6,29,35,12,1,2,17,30,34
St. John's,12,Elijah Holifield,8,13,4,6,0.667,3,3,1,1,3,0.333,0,2,0,0,1,1,2,3,0,2,4,9
St. John's,13,Brandon Lawrence,3,2,1,1,1,1,1,1,0,0,,0,0,,0,0,0,0,0,0,0,0,2
St. John's,14,Marvin Clark,1,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
St. John's,15,Justin Cole,3,5,0,1,0,0,1,0,0,0,,0,0,,0,1,1,0,0,0,0,0,0
St. John's,16,Justin Simon,1,0,0,0,,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0
Georgetown,1,Rodney Pryor,32,1044,212,440,0.482,128,237,0.54,84,203,0.414,69,94,0.734,34,127,161,41,25,22,55,73,577
Georgetown,2,L.J. Peak,32,1051,167,348,0.48,134,247,0.543,33,101,0.327,152,191,0.796,33,89,122,111,34,12,86,88,519
Georgetown,3,Jessie Govan,32,671,128,250,0.512,114,215,0.53,14,35,0.4,54,81,0.667,38,121,159,45,16,32,55,89,324
Georgetown,4,Marcus Derrickson,28,665,76,176,0.432,44,83,0.53,32,93,0.344,48,58,0.828,34,89,123,40,12,18,37,84,232
Georgetown,5,Akoy Agau,32,479,42,84,0.5,39,69,0.565,3,15,0.2,57,67,0.851,34,102,136,28,7,28,50,71,144
Georgetown,6,Jagan Mosely,31,621,36,97,0.371,27,60,0.45,9,37,0.243,50,65,0.769,9,60,69,79,23,5,42,67,131
Georgetown,7,Jonathan Mulmore,32,646,30,84,0.357,20,55,0.364,10,29,0.345,45,60,0.75,6,37,43,60,17,4,37,74,115
Georgetown,8,Bradley Hayes,25,340,47,88,0.534,47,88,0.534,0,0,,12,32,0.375,32,69,101,21,8,21,31,46,106
Georgetown,9,Tre Campbell,21,294,24,62,0.387,12,27,0.444,12,35,0.343,13,21,0.619,3,23,26,28,12,0,19,17,73
Georgetown,10,Kaleb Johnson,31,333,23,52,0.442,20,40,0.5,3,12,0.25,23,44,0.523,22,38,60,13,11,3,13,41,72
Georgetown,11,Isaac Copeland,7,137,11,40,0.275,11,30,0.367,0,10,0,16,19,0.842,8,15,23,6,6,0,7,12,38
Georgetown,12,Reggie Cameron,17,138,9,23,0.391,3,5,0.6,6,18,0.333,5,10,0.5,2,14,16,7,3,1,8,6,29
Georgetown,13,Trey Mourning,10,18,3,6,0.5,3,6,0.5,0,0,,2,2,1,1,4,5,0,0,1,0,4,8
Georgetown,14,Ra'Mond Hines,5,7,0,1,0,0,0,,0,1,0,1,2,0.5,0,0,0,1,0,0,1,0,1
Georgetown,15,George Muresan,5,6,0,1,0,0,0,,0,1,0,0,0,,0,0,0,0,1,0,0,0,0
DePaul,1,Eli Cain,32,1059,169,425,0.398,118,277,0.426,51,148,0.345,111,154,0.721,32,112,144,85,33,12,76,85,500
DePaul,2,Billy Garrett,32,938,140,361,0.388,99,248,0.399,41,113,0.363,157,178,0.882,12,80,92,107,37,5,105,81,478
DePaul,3,Tre'Darius McCallum,32,993,124,280,0.443,102,202,0.505,22,78,0.282,41,55,0.745,49,168,217,43,49,26,52,92,311
DePaul,4,Brandon Cyrus,32,840,72,190,0.379,62,151,0.411,10,39,0.256,47,67,0.701,52,81,133,29,28,7,46,76,201
DePaul,5,Chris Harrison-Docks,26,508,55,152,0.362,15,37,0.405,40,115,0.348,15,16,0.938,6,14,20,21,15,0,27,40,165
DePaul,6,Joe Hanel,32,823,61,94,0.649,61,94,0.649,0,0,,26,50,0.52,67,87,154,24,14,13,40,110,148
DePaul,7,Devin Gage,29,346,45,95,0.474,40,74,0.541,5,21,0.238,21,29,0.724,6,19,25,27,22,7,30,37,116
DePaul,8,Darrick Wood,19,193,32,75,0.427,24,51,0.471,8,24,0.333,12,23,0.522,8,18,26,13,4,1,15,23,84
DePaul,9,R.J. Curington,19,180,26,54,0.481,21,32,0.656,5,22,0.227,17,21,0.81,17,20,37,11,7,3,15,19,74
DePaul,10,Levi Cook,25,273,29,48,0.604,29,48,0.604,0,0,,8,13,0.615,26,32,58,3,1,10,21,45,66
DePaul,11,Al Eichelberger,26,212,16,21,0.762,16,21,0.762,0,0,,13,32,0.406,15,17,32,1,2,8,10,26,45
DePaul,12,Erten Gazi,13,55,6,9,0.667,4,5,0.8,2,4,0.5,4,4,1,3,8,11,2,1,0,3,1,18
DePaul,13,David Leitao III,2,5,0,0,,0,0,,0,0,,0,0,,0,1,1,0,0,0,0,0,0
Purdue,1,Caleb Swanigan,35,1139,222,421,0.527,184,336,0.548,38,85,0.447,164,210,0.781,96,340,436,106,15,28,118,97,646
Purdue,2,Isaac Haas,35,682,159,271,0.587,159,271,0.587,0,0,,123,173,0.711,62,112,174,20,9,27,78,73,441
Purdue,3,Vince Edwards,35,1001,160,329,0.486,113,218,0.518,47,111,0.423,73,89,0.82,66,107,173,112,19,18,58,64,440
Purdue,4,Carsen Edwards,35,813,128,335,0.382,79,191,0.414,49,144,0.34,55,76,0.724,14,77,91,62,37,3,64,68,360
Purdue,5,Dakota Mathias,35,1111,118,251,0.47,46,92,0.5,72,159,0.453,32,39,0.821,11,126,137,133,30,4,52,75,340
Purdue,6,P.J. Thompson,35,1000,87,191,0.455,34,59,0.576,53,132,0.402,31,44,0.705,24,49,73,102,36,1,26,69,258
Purdue,7,Ryan Cline,31,663,57,134,0.425,12,25,0.48,45,109,0.413,9,11,0.818,5,57,62,50,11,3,22,43,168
Purdue,8,Basil Smotherman,18,217,30,54,0.556,26,41,0.634,4,13,0.308,6,11,0.545,7,23,30,15,9,1,12,30,70
Purdue,9,Spike Albrecht,28,350,11,41,0.268,5,15,0.333,6,26,0.231,18,19,0.947,11,30,41,36,11,1,9,25,46
Purdue,10,Grady Eifert,16,46,6,7,0.857,6,7,0.857,0,0,,3,5,0.6,3,5,8,0,1,1,0,3,15
Purdue,11,Jon McKeeman,15,28,2,5,0.4,1,3,0.333,1,2,0.5,0,0,,1,0,1,0,2,0,2,2,5
Purdue,12,Tommy Luce,15,25,0,5,0,0,4,0,0,1,0,1,3,0.333,0,0,0,4,1,0,6,3,1
Wisconsin,1,Bronson Koenig,36,1129,181,431,0.42,78,170,0.459,103,261,0.395,57,63,0.905,6,70,76,73,23,12,51,61,522
Wisconsin,2,Ethan Happ,37,1033,218,371,0.588,218,371,0.588,0,0,,81,162,0.5,117,215,332,105,67,43,80,102,517
Wisconsin,3,Nigel Hayes,37,1190,180,394,0.457,158,324,0.488,22,70,0.314,135,230,0.587,82,163,245,100,28,14,63,67,517
Wisconsin,4,Zak Showalter,37,1088,107,214,0.5,58,91,0.637,49,123,0.398,44,53,0.83,29,79,108,65,56,11,41,99,307
Wisconsin,5,Vitto Brown,37,772,92,232,0.397,48,94,0.511,44,138,0.319,25,33,0.758,46,95,141,37,19,16,53,76,253
Wisconsin,6,D'Mitrik Trice,37,674,70,184,0.38,32,93,0.344,38,91,0.418,30,38,0.789,7,62,69,63,20,3,37,51,208
Wisconsin,7,Khalil Iverson,35,531,50,94,0.532,46,81,0.568,4,13,0.308,32,57,0.561,45,71,116,22,18,20,33,37,136
Wisconsin,8,Charles Thomas IV,28,177,21,54,0.389,19,48,0.396,2,6,0.333,18,20,0.9,14,22,36,6,0,4,17,40,62
Wisconsin,9,Jordan Hill,35,356,19,54,0.352,10,19,0.526,9,35,0.257,6,9,0.667,7,31,38,16,6,1,9,26,53
Wisconsin,10,Brevin Pritzl,24,207,13,38,0.342,8,17,0.471,5,21,0.238,14,19,0.737,14,12,26,2,7,0,5,18,45
Wisconsin,11,Alex Illikainen,27,224,12,37,0.324,8,21,0.381,4,16,0.25,6,12,0.5,16,24,40,9,3,3,5,19,34
Wisconsin,12,Andy Van Vliet,13,48,6,17,0.353,3,9,0.333,3,8,0.375,3,4,0.75,5,15,20,2,0,2,2,3,18
Wisconsin,13,Aaron Moesch,17,40,1,4,0.25,1,4,0.25,0,0,,1,2,0.5,5,2,7,2,2,0,0,1,3
Wisconsin,14,T.J. Schlundt,12,20,1,6,0.167,1,2,0.5,0,4,0,1,1,1,1,1,2,0,0,1,0,1,3
Wisconsin,15,Matt Ferris,9,11,0,5,0,0,3,0,0,2,0,0,0,,3,2,5,2,1,0,0,1,0
Maryland,1,Melo Trimble,33,1059,180,413,0.436,122,230,0.53,58,183,0.317,138,175,0.789,9,110,119,121,36,5,100,59,556
Maryland,2,Justin Jackson,33,919,117,267,0.438,71,162,0.438,46,105,0.438,67,96,0.698,58,141,199,31,29,26,54,72,347
Maryland,3,Anthony Cowan,33,957,97,229,0.424,71,148,0.48,26,81,0.321,120,156,0.769,29,100,129,123,40,5,76,67,340
Maryland,4,Kevin Huerter,33,971,111,264,0.42,46,89,0.517,65,175,0.371,20,28,0.714,22,141,163,88,32,23,46,60,307
Maryland,5,Jaylen Brantley,33,555,55,144,0.382,23,61,0.377,32,83,0.386,21,34,0.618,9,56,65,32,17,0,21,44,163
Maryland,6,Damonte Dodd,26,507,61,105,0.581,61,105,0.581,0,0,,39,74,0.527,70,44,114,11,5,52,36,89,161
Maryland,7,Ivan Bender,32,456,63,95,0.663,63,95,0.663,0,0,,28,45,0.622,32,70,102,28,5,12,29,75,154
Maryland,8,Michal Cekovsky,17,224,55,82,0.671,55,82,0.671,0,0,,19,37,0.514,21,27,48,8,2,20,16,43,129
Maryland,9,L.G. Gill,33,419,37,82,0.451,34,72,0.472,3,10,0.3,38,59,0.644,26,42,68,9,5,5,11,52,115
Maryland,10,Jared Nickens,33,337,32,98,0.327,5,19,0.263,27,79,0.342,10,12,0.833,6,23,29,8,4,2,13,27,101
Maryland,11,Dion Wiley,20,205,19,59,0.322,4,19,0.211,15,40,0.375,10,14,0.714,10,19,29,11,4,4,12,21,63
Maryland,12,Travis Valmon,5,8,0,1,0,0,1,0,0,0,,2,2,1,2,0,2,0,1,0,2,3,2
Maryland,13,Andrew Terrell,5,8,0,1,0,0,0,,0,1,0,0,0,,0,0,0,2,0,0,0,1,0
Minnesota,1,Nate Mason,34,1174,169,450,0.376,115,300,0.383,54,150,0.36,126,156,0.808,22,102,124,169,45,5,65,55,518
Minnesota,2,Amir Coffey,33,1097,131,292,0.449,99,197,0.503,32,95,0.337,110,146,0.753,23,104,127,102,36,5,64,57,404
Minnesota,3,Jordan Murphy,34,934,144,287,0.502,140,255,0.549,4,32,0.125,91,148,0.615,82,218,300,29,23,36,56,102,383
Minnesota,4,Dupree McBrayer,34,947,128,286,0.448,91,197,0.462,37,89,0.416,83,112,0.741,9,59,68,93,29,10,51,51,376
Minnesota,5,Akeem Springs,32,768,102,268,0.381,35,93,0.376,67,175,0.383,32,47,0.681,17,79,96,43,18,6,30,36,303
Minnesota,6,Reggie Lynch,33,763,108,199,0.543,108,199,0.543,0,0,,62,97,0.639,69,132,201,15,15,114,49,112,278
Minnesota,7,Eric Curry,34,681,69,160,0.431,64,131,0.489,5,29,0.172,45,64,0.703,53,124,177,42,15,23,35,69,188
Minnesota,8,Bakary Konate,33,320,19,41,0.463,19,40,0.475,0,1,0,15,24,0.625,29,62,91,3,8,25,18,73,53
Minnesota,9,Ahmad Gilbert,15,75,8,27,0.296,1,5,0.2,7,22,0.318,2,4,0.5,2,12,14,2,2,2,8,7,25
Minnesota,10,Michael Hurt,25,149,6,20,0.3,4,6,0.667,2,14,0.143,4,4,1,4,9,13,6,2,1,6,12,18
Minnesota,11,Brady Rudrud,5,9,2,3,0.667,1,2,0.5,1,1,1,1,2,0.5,0,1,1,0,0,0,0,0,6
Minnesota,12,Gaston Diedhiou,4,9,1,3,0.333,1,2,0.5,0,1,0,0,0,,1,1,2,0,0,0,0,0,2
Minnesota,13,Stephon Sharp,9,16,0,0,,0,0,,0,0,,2,2,1,0,0,0,1,1,0,1,3,2
Minnesota,14,Darin Haugh,5,8,0,1,0,0,0,,0,1,0,0,0,,0,2,2,2,0,0,1,0,0
Michigan,1,Derrick Walton,38,1323,171,392,0.436,73,160,0.456,98,232,0.422,149,170,0.876,17,165,182,188,43,1,66,66,589
Michigan,2,Zak Irvin,38,1345,195,430,0.453,141,273,0.516,54,157,0.344,51,76,0.671,23,149,172,113,34,2,71,45,495
Michigan,3,Moritz Wagner,38,908,168,300,0.56,123,186,0.661,45,114,0.395,77,106,0.726,51,107,158,20,39,14,54,102,458
Michigan,4,D.J. Wilson,38,1155,164,305,0.538,123,195,0.631,41,110,0.373,50,60,0.833,57,146,203,50,20,57,42,73,419
Michigan,5,Muhammad-Ali Abdur-Rahkman,38,1164,120,259,0.463,78,148,0.527,42,111,0.378,62,81,0.765,27,78,105,74,35,4,40,82,344
Michigan,6,Duncan Robinson,38,764,101,215,0.47,37,64,0.578,64,151,0.424,25,32,0.781,11,55,66,33,14,9,19,70,291
Michigan,7,Mark Donnal,38,464,50,81,0.617,41,63,0.651,9,18,0.5,39,50,0.78,35,41,76,4,10,12,15,56,148
Michigan,8,Xavier Simpson,38,332,16,43,0.372,11,24,0.458,5,19,0.263,22,31,0.71,4,20,24,37,21,2,19,47,59
Michigan,9,Ibi Watson,19,83,10,29,0.345,9,11,0.818,1,18,0.056,3,4,0.75,0,8,8,1,2,0,3,5,24
Michigan,10,Sean Lonergan,17,36,4,9,0.444,4,7,0.571,0,2,0,3,6,0.5,1,6,7,3,0,1,2,11,11
Michigan,11,Jon Teske,20,60,1,7,0.143,1,6,0.167,0,1,0,3,6,0.5,7,5,12,2,2,6,1,10,5
Michigan,12,Fred Wright-Jones,13,19,1,4,0.25,0,2,0,1,2,0.5,2,2,1,0,1,1,0,0,0,1,2,5
Michigan,13,Brent Hibbitts,11,22,1,2,0.5,0,0,,1,2,0.5,0,0,,2,2,4,2,0,0,2,2,3
Northwestern,1,Bryant McIntosh,36,1231,199,493,0.404,157,356,0.441,42,137,0.307,94,108,0.87,9,91,100,188,26,4,96,74,534
Northwestern,2,Scottie Lindsey,32,975,163,384,0.424,105,204,0.515,58,180,0.322,67,80,0.838,17,105,122,73,32,8,45,73,451
Northwestern,3,Vic Law,36,1155,147,366,0.402,87,216,0.403,60,150,0.4,90,122,0.738,46,163,209,63,37,18,56,96,444
Northwestern,4,Dererk Pardon,28,862,102,167,0.611,102,167,0.611,0,0,,37,68,0.544,92,134,226,32,23,51,30,75,241
Northwestern,5,Isiah Brown,35,519,70,211,0.332,51,145,0.352,19,66,0.288,63,82,0.768,10,32,42,41,19,7,39,58,222
Northwestern,6,Sanjay Lumpkin,36,1007,77,138,0.558,62,88,0.705,15,50,0.3,47,69,0.681,52,144,196,49,22,15,25,113,216
Northwestern,7,Gavin Skelly,36,637,72,155,0.465,54,95,0.568,18,60,0.3,52,69,0.754,51,81,132,46,12,44,47,100,214
Northwestern,8,Nathan Taphorn,35,427,52,110,0.473,13,27,0.481,39,83,0.47,13,16,0.813,11,40,51,23,5,7,15,41,156
Northwestern,9,Barret Benson,32,255,26,44,0.591,26,44,0.591,0,0,,13,23,0.565,21,30,51,12,9,19,11,50,65
Northwestern,10,Jordan Ash,26,104,5,21,0.238,0,5,0,5,16,0.313,0,0,,1,11,12,10,5,1,5,10,15
Northwestern,11,Aaron Falzon,3,20,0,3,0,0,0,,0,3,0,0,0,,0,2,2,3,0,1,1,1,0
Northwestern,12,Charlie Hall,7,8,0,2,0,0,0,,0,2,0,0,0,,1,3,4,0,0,0,0,0,0
Michigan State,1,Nick Ward,35,694,181,306,0.592,181,306,0.592,0,0,,123,200,0.615,97,130,227,14,12,54,58,98,485
Michigan State,2,Miles Bridges,28,895,177,364,0.486,121,220,0.55,56,144,0.389,63,92,0.685,41,191,232,58,19,43,66,52,473
Michigan State,3,Eron Harris,27,618,101,234,0.432,58,123,0.472,43,111,0.387,45,59,0.763,14,67,81,46,11,5,47,40,290
Michigan State,4,Joshua Langford,35,735,94,189,0.497,57,100,0.57,37,89,0.416,17,26,0.654,25,56,81,38,14,3,38,70,242
Michigan State,5,Cassius Winston,35,724,77,182,0.423,50,111,0.45,27,71,0.38,55,70,0.786,6,58,64,182,26,5,77,72,236
Michigan State,6,Alvin Ellis,35,678,72,180,0.4,31,67,0.463,41,113,0.363,40,57,0.702,22,86,108,43,22,13,49,67,225
Michigan State,7,Matt McQuaid,34,714,61,173,0.353,19,53,0.358,42,120,0.35,25,35,0.714,19,45,64,41,14,2,27,67,189
Michigan State,8,Lourawls Nairn,35,799,48,115,0.417,36,78,0.462,12,37,0.324,14,27,0.519,3,84,87,127,15,4,39,59,122
Michigan State,9,Kenny Goins,35,639,48,83,0.578,48,83,0.578,0,0,,22,33,0.667,38,121,159,21,8,21,37,92,118
Michigan State,10,Kyle Ahrens,34,278,30,70,0.429,15,25,0.6,15,45,0.333,12,16,0.75,6,33,39,8,1,0,9,46,87
Michigan State,11,Matt Van Dyk,30,231,14,26,0.538,14,26,0.538,0,0,,11,23,0.478,27,25,52,12,9,12,12,34,39
Michigan State,12,Conner George,10,12,1,2,0.5,1,1,1,0,1,0,4,6,0.667,0,3,3,1,0,0,3,0,6
Michigan State,13,Greg Roy,8,8,1,3,0.333,1,2,0.5,0,1,0,1,2,0.5,1,0,1,0,0,0,0,2,3
Iowa,1,Peter Jok,32,983,199,466,0.427,115,245,0.469,84,221,0.38,154,169,0.911,31,146,177,84,34,3,81,70,636
Iowa,2,Jordan Bohannon,34,1005,118,304,0.388,29,90,0.322,89,214,0.416,47,55,0.855,9,67,76,175,29,2,76,55,372
Iowa,3,Tyler Cook,27,662,128,231,0.554,126,223,0.565,2,8,0.25,73,122,0.598,53,90,143,26,18,11,65,67,331
Iowa,4,Cordell Pemsl,34,655,116,188,0.617,116,187,0.62,0,1,0,69,120,0.575,61,108,169,37,25,24,53,84,301
Iowa,5,Nicholas Baer,34,808,91,203,0.448,45,87,0.517,46,116,0.397,27,44,0.614,69,127,196,59,48,43,27,78,255
Iowa,6,Isaiah Moss,34,580,84,204,0.412,55,123,0.447,29,81,0.358,23,31,0.742,9,46,55,29,19,13,36,42,220
Iowa,7,Ahmad Wagner,34,545,63,123,0.512,63,121,0.521,0,2,0,38,82,0.463,63,53,116,46,27,14,30,71,164
Iowa,8,Brady Ellingson,34,484,49,111,0.441,17,43,0.395,32,68,0.471,18,18,1,7,32,39,37,11,0,14,28,148
Iowa,9,Dom Uhl,32,467,34,97,0.351,24,55,0.436,10,42,0.238,35,52,0.673,30,72,102,38,5,9,31,31,113
Iowa,10,Ryan Kriener,28,235,38,69,0.551,37,64,0.578,1,5,0.2,9,15,0.6,16,45,61,11,6,9,18,39,86
Iowa,11,Christian Williams,34,435,32,92,0.348,30,79,0.38,2,13,0.154,14,27,0.519,10,44,54,53,26,1,30,29,80
Iowa,12,Maishe Dailey,12,91,10,22,0.455,6,10,0.6,4,12,0.333,3,6,0.5,3,16,19,5,4,1,5,6,27
Iowa,13,Dale Jones,5,16,1,8,0.125,0,1,0,1,7,0.143,0,0,,1,3,4,1,0,0,2,5,3
Iowa,14,Charlie Rose,7,9,1,3,0.333,1,2,0.5,0,1,0,0,0,,0,1,1,1,0,0,1,3,2
Illinois,1,Malcolm Hill,35,1164,189,435,0.434,124,252,0.492,65,183,0.355,160,204,0.784,35,145,180,102,42,13,66,74,603
Illinois,2,Maverick Morgan,35,895,143,265,0.54,143,265,0.54,0,0,,61,93,0.656,61,97,158,30,10,28,59,77,347
Illinois,3,Tracy Abrams,35,846,104,244,0.426,53,117,0.453,51,127,0.402,42,59,0.712,8,93,101,81,36,6,44,70,301
Illinois,4,Jalen Coleman-Lands,35,850,94,257,0.366,23,70,0.329,71,187,0.38,21,25,0.84,7,75,82,34,24,4,35,73,280
Illinois,5,Leron Black,31,627,101,223,0.453,90,186,0.484,11,37,0.297,39,54,0.722,55,141,196,13,14,3,37,89,252
Illinois,6,Michael Finke,32,635,83,172,0.483,46,82,0.561,37,90,0.411,17,31,0.548,49,86,135,21,10,5,30,44,220
Illinois,7,Te'Jon Lucas,31,642,47,115,0.409,35,83,0.422,12,32,0.375,42,71,0.592,7,51,58,95,32,1,51,58,148
Illinois,8,Mike Thorne,24,318,52,95,0.547,52,95,0.547,0,0,,16,35,0.457,28,50,78,8,1,8,27,50,120
Illinois,9,Kipper Nichols,21,286,39,86,0.453,27,59,0.458,12,27,0.444,13,21,0.619,19,41,60,2,7,7,15,47,103
Illinois,10,Jaylon Tate,26,408,18,47,0.383,16,36,0.444,2,11,0.182,24,35,0.686,8,26,34,73,12,2,32,30,62
Illinois,11,D.J. Williams,17,150,17,40,0.425,15,30,0.5,2,10,0.2,3,5,0.6,4,11,15,8,1,5,8,6,39
Illinois,12,Aaron Jordan,24,165,8,28,0.286,2,8,0.25,6,20,0.3,1,6,0.167,6,21,27,5,8,1,4,19,23
Illinois,13,Alex Austin,9,20,2,8,0.25,2,4,0.5,0,4,0,0,0,,4,4,8,0,0,0,0,3,4
Illinois,14,Clayton Jones,9,11,1,3,0.333,0,1,0,1,2,0.5,1,1,1,0,0,0,0,0,0,0,0,4
Illinois,15,Samson Oladimeji,7,8,0,1,0,0,0,,0,1,0,2,3,0.667,2,1,3,0,0,0,0,1,2
Ohio State,1,Jae'Sean Tate,32,1021,182,333,0.547,174,297,0.586,8,36,0.222,86,150,0.573,62,143,205,64,34,15,72,101,458
Ohio State,2,Marc Loving,32,1086,123,295,0.417,65,143,0.455,58,152,0.382,88,119,0.739,33,117,150,60,18,17,89,69,392
Ohio State,3,JaQuan Lyle,31,908,121,264,0.458,88,183,0.481,33,81,0.407,78,108,0.722,10,88,98,142,32,2,75,50,353
Ohio State,4,Trevor Thompson,32,737,125,219,0.571,125,219,0.571,0,0,,90,125,0.72,86,207,293,14,12,48,45,111,340
Ohio State,5,Kam Williams,32,981,108,276,0.391,58,143,0.406,50,133,0.376,34,37,0.919,9,58,67,31,24,4,34,48,300
Ohio State,6,C.J. Jackson,32,611,58,147,0.395,32,66,0.485,26,81,0.321,37,55,0.673,13,66,79,92,27,0,42,52,179
Ohio State,7,Micah Potter,30,422,43,99,0.434,26,48,0.542,17,51,0.333,21,35,0.6,35,57,92,8,8,11,20,68,124
Ohio State,8,Keita Bates-Diop,9,210,37,74,0.5,34,59,0.576,3,15,0.2,10,14,0.714,12,35,47,12,2,12,14,13,87
Ohio State,9,Andre Wesson,29,326,19,52,0.365,6,15,0.4,13,37,0.351,15,28,0.536,15,21,36,9,6,5,18,33,66
Ohio State,10,David Bell,15,101,8,18,0.444,8,18,0.444,0,0,,4,7,0.571,10,19,29,2,2,7,3,17,20
Ohio State,11,Joey Lane,4,12,2,5,0.4,0,1,0,2,4,0.5,1,2,0.5,0,2,2,0,1,0,2,0,7
Ohio State,12,Jimmy Jent,4,10,1,4,0.25,0,2,0,1,2,0.5,0,0,,0,4,4,0,0,0,0,0,3
Indiana,1,James Blackmon,30,915,174,365,0.477,83,150,0.553,91,215,0.423,72,86,0.837,29,115,144,56,21,1,58,54,511
Indiana,2,Robert Johnson,34,999,162,361,0.449,92,172,0.535,70,189,0.37,40,53,0.755,12,137,149,85,29,3,78,73,434
Indiana,3,Thomas Bryant,34,954,148,285,0.519,125,225,0.556,23,60,0.383,108,148,0.73,76,150,226,50,26,52,78,104,427
Indiana,4,Josh Newkirk,34,955,114,260,0.438,79,168,0.47,35,92,0.38,44,63,0.698,23,82,105,107,19,7,76,99,307
Indiana,5,Juwan Morgan,32,722,86,157,0.548,76,117,0.65,10,40,0.25,65,88,0.739,65,113,178,34,19,29,36,84,247
Indiana,6,De'Ron Davis,34,471,66,136,0.485,66,136,0.485,0,0,,68,90,0.756,53,53,106,31,14,24,41,82,200
Indiana,7,OG Anunoby,16,402,68,122,0.557,54,77,0.701,14,45,0.311,27,48,0.563,28,59,87,23,21,21,26,33,177
Indiana,8,Devonte Green,32,485,47,106,0.443,23,51,0.451,24,55,0.436,24,34,0.706,9,48,57,34,22,6,40,24,142
Indiana,9,Curtis Jones,33,370,38,108,0.352,17,48,0.354,21,60,0.35,18,25,0.72,8,36,44,31,14,3,24,28,115
Indiana,10,Freddie McSwain,31,251,32,58,0.552,32,55,0.582,0,3,0,20,32,0.625,35,42,77,4,10,3,23,41,84
Indiana,11,Zach McRoberts,31,350,9,27,0.333,5,15,0.333,4,12,0.333,2,2,1,13,32,45,29,12,6,8,45,24
Indiana,12,Grant Gelon,12,39,7,9,0.778,4,4,1,3,5,0.6,5,8,0.625,2,3,5,0,1,0,1,6,22
Indiana,13,Tim Priller,10,27,7,9,0.778,7,9,0.778,0,0,,5,6,0.833,4,7,11,4,0,2,1,7,19
Indiana,14,Quentin Taylor,6,10,1,1,1,1,1,1,0,0,,0,0,,1,1,2,0,1,0,4,2,2
Penn State,1,Tony Carr,33,1084,141,374,0.377,108,271,0.399,33,103,0.32,121,157,0.771,22,137,159,137,22,10,86,72,436
Penn State,2,Lamar Stevens,33,918,148,344,0.43,137,310,0.442,11,34,0.324,112,146,0.767,54,130,184,55,26,22,72,90,419
Penn State,3,Shep Garner,33,1058,133,350,0.38,51,121,0.421,82,229,0.358,48,63,0.762,13,81,94,78,40,3,61,62,396
Penn State,4,Payton Banks,32,853,106,293,0.362,33,92,0.359,73,201,0.363,49,60,0.817,12,59,71,31,14,9,31,64,334
Penn State,5,Mike Watkins,33,786,128,218,0.587,128,218,0.587,0,0,,63,98,0.643,81,182,263,20,26,89,44,83,319
Penn State,6,Josh Reaves,28,759,81,181,0.448,62,122,0.508,19,59,0.322,34,48,0.708,37,75,112,59,60,21,54,84,215
Penn State,7,Terrence Samuel,28,468,35,86,0.407,29,68,0.426,6,18,0.333,32,44,0.727,11,53,64,49,18,1,23,32,108
Penn State,8,Julian Moore,32,476,35,76,0.461,35,76,0.461,0,0,,19,27,0.704,38,56,94,11,8,24,28,63,89
Penn State,9,Nazeer Bostick,18,120,9,29,0.31,9,21,0.429,0,8,0,5,5,1,2,12,14,6,7,4,9,13,23
